id,title,artist_display,date_display,place_of_origin,category_titles,description,medium_display,dimensions,provenance_text,exhibition_history,publication_history,credit_line,department_title,style_title,artwork_type_title,technique_titles,subject_titles,image_url,image_path
11094,Monk,China,Sui Dynasty (589–618 A.D.),China,Arts of Asia,"<p>Expressing serene dignity, <a href=""https://www.artic.edu/collection?q=monk&department_ids=Asian+Art&classification_ids=sculpture%3Bstone"">these youthful monks</a> stand erect, their eyes downcast and hands firmly joined in reverent prayer. Their long earlobes allude to earrings that were worn by the Buddha as a young Indian prince and to his rejection of material wealth. Characteristic of Sui dynasty sculpture, the monks’ sharply defined facial features and the folds of their robes enhance the figures’ flat, understated modeling. Each of their robes was originally painted with rectangles of different colors, signifying the patchwork mantle worn by the Buddha and by pious monks who emulated his humble values. Only shadowy traces of these pigments are now evident.</p>
",Limestone with traces of polychromy,87.7 × 25.4 × 19.7 cm (34 1/2 × 10 × 7 3/4 in.),,,,Lucy Maud Buckingham Collection,Arts of Asia,Chinese (culture or style),Sculpture,,,"https://www.artic.edu/iiif/2/65e8b4c3-a7ab-87c2-d884-6ee6e8d696be/full/843,/0/default.jpg",chinese_art_images\11.jpg
111140,Horse,China,"Tang dynasty (618–907), first half of 8th century",China,Arts of Asia,"<p>In  Tang-dynasty  China,  horses  were  treasured for their military value and their use in aristocratic sports. The finest steeds were imported from Central Asia and from China’s northwestern neighbors. In this model for the afterlife, the sculptor captured the horse’s power and grace as well as its spirit and alertness. The harness ornaments closely resemble those used in real life.</p>
",Earthenware with three-color (sancai) lead glazes,73.7 × 25.4 × 68.6 cm (29 × 10 × 27 in.),,,,Gift of Mrs. Gordon Palmer,Arts of Asia,Chinese (culture or style),Sculpture,,,"https://www.artic.edu/iiif/2/72dd1c9e-f777-cbf3-ec01-8ae0663bb6d1/full/843,/0/default.jpg",chinese_art_images\12.jpg
111217,Square Vase,China,"Qing dynasty (1644–1911), Kangxi reign (1662–1722)",China,Arts of Asia,,Porcelain with underglaze blue and red painting,55.2 x 13.3 x 13.3 (21 3/4 x 5 1/4 x 5 1/4 in.),,,,Gift of Mr. Russell Tyson,Arts of Asia,,Vessel,,,,
11151,Guanyin (Avalokiteshvara) Standing before Flaming Aureole and Holding a Water Bottle,China,"Eastern or Western Wei dynasty, c. mid–5th century (rededicated 594)",China,Arts of Asia,A work made of gilt copper alloy.,Gilt copper alloy,16.5 × 4.7 × 3.7 cm (6 1/2 × 1 7/8 × 1 1/2 in.),,,,James W. and Marilynn Alsdorf Collection,Arts of Asia,Chinese (culture or style),Sculpture,,,"https://www.artic.edu/iiif/2/30159dfc-f16e-e4a2-c13f-cfa3855b5b58/full/843,/0/default.jpg",chinese_art_images\13.jpg
11153,Tree and Bird,"Walasse Ting (American, born China, 1929-2010)",20th century,China,Arts of Asia,,Hanging scroll; ink on paper,172.8 × 160.7 cm (68 × 63 1/4 in.),,,,As a Gift from Mrs. Albert Newman,Arts of Asia,,Painting,,,,
111537,Teapot Shaped like a Bamboo Hat,"Qu Yingshao
Chinese, active early 19th century","Qing dynasty (1644–1911), first half of the 19th century",China,Arts of Asia,A work made of yixing stoneware.,Yixing stoneware,6.4 × 15.3 cm (2 1/2 × 6 in.); Diam.: 15.3 cm (6 in.),,,,Gift of Mr. Russell Tyson,Arts of Asia,Chinese (culture or style),Vessel,,,"https://www.artic.edu/iiif/2/3a926260-79d0-51f4-29bd-44b18c219785/full/843,/0/default.jpg",chinese_art_images\14.jpg
111538,Square Cup with Molded Studs and Carved Inscription,"Yu Yunwei
Chinese","Qing dynasty (1644–1911), Daoguang period (1821–1850)",China,Arts of Asia,"A work made of yixing stoneware with underglaze molded, carved, and incised decoration.","Yixing stoneware with underglaze molded, carved, and incised decoration",3.4 × 6.2 × 5.3 cm (1 5/16 × 2 7/16 × 2 1/16 in.),,,,Gift of Mr. Russell Tyson,Arts of Asia,Chinese (culture or style),Vessel,,,"https://www.artic.edu/iiif/2/ec2fb215-f13f-f6dc-c1fc-66eb236b31e7/full/843,/0/default.jpg",chinese_art_images\15.jpg
11155,Dragon,"Walasse Ting (American, born China, 1929-2010)",20th century,China,Arts of Asia,,Hanging scroll; ink on paper,279.6 × 62.3 cm (110 1/16 × 24 1/2 in.),,,,As a Gift from Mrs. Albert Newman,Arts of Asia,,Painting,,,,
11158,Old Man and Horse,"Walasse Ting (American, born China, 1929-2010)",20th century,China,Arts of Asia,,Hanging scroll; ink on paper,276.9 × 321.4 cm (109 × 126 1/2 in.),,,,As a Gift from Mrs. Albert Newman,Arts of Asia,,Painting,,,,
11162,Mad Man and Sad Horse,"Walasse Ting (American, born China, 1929-2010)",20th Century,China,Arts of Asia,,Hanging scroll; ink on paper,90.9 × 181.3 cm (35 3/4 × 71 3/8 in.),,,,As a Gift from Mrs. Albert Newman,Arts of Asia,,Painting,,,,
11165,Ladies,"Walasse Ting (American, born China, 1929-2010)",20th century,China,Arts of Asia,,Hanging scroll; ink on paper,,,,,As a Gift from Mrs. Albert Newman,Arts of Asia,,Painting,,,,
11167,Abstract,"Walasse Ting (American, born China, 1929-2010)",20th century,China,Arts of Asia,,Hanging scroll; ink on paper,184.5 × 121.3 cm (72 5/8 × 47 3/4 in.),,,,As a Gift from Mrs. Albert Newman,Arts of Asia,,Painting,,,,
11193,Taima Mandala,"Unknown Artist
Japanese, Edo period (1615-1868)",Late 18th century,China,Arts of Asia,A work made of color and ink with gold on silk.,Color and ink with gold on silk,201.7 × 195.6 cm (79 3/8 × 77 in.),,,,Unrestricted Gift from the estate of Mr. Edward E. Brown,Arts of Asia,,Painting,,,"https://www.artic.edu/iiif/2/02459847-504a-a9e7-577e-857426317072/full/843,/0/default.jpg",chinese_art_images\16.jpg
11202,Fragment,China,"Qing dynasty(1644–1911), early 19th century",China,Textiles,"A work made of fancy compound satin, silk and gilt paper; wound on white silk core.","Fancy compound satin, silk and gilt paper; wound on white silk core",137.6 × 111.8 cm (77 3/4 × 44 in.),,,,Gift of Martin A. Ryerson through The Antiquarian Society,Textiles,qing,Textile,,,"https://www.artic.edu/iiif/2/2f7fa53b-f33a-0fea-410c-1dddd057fae9/full/843,/0/default.jpg",chinese_art_images\17.jpg
11316,Portrait of a Gentleman,"Artist unknown
Chinese",Yuan dynasty (1260–1368) or Ming dynasty (1368–1644),China,Arts of Asia,A work made of album leaf; ink and colors on silk.,Album leaf; ink and colors on silk,29.5 × 24.5 cm (11 5/8 × 9 11/16 in.),,,,Gift of Robert Allerton,Arts of Asia,Chinese (culture or style),Photograph,,,"https://www.artic.edu/iiif/2/84e7abe2-1295-ad54-db97-d83d617183b2/full/843,/0/default.jpg",chinese_art_images\18.jpg
11318,Portrait of a Gentleman,Artist unknown (Chinese),Yuan dynasty (1260–1368) or Ming dynasty (1368–1644),China,Arts of Asia,A work made of album leaf; ink and colors on silk.,Album leaf; ink and colors on silk,29.5 × 24.5 cm (11 5/8 × 9 11/16 in.),,,,Gift of Robert Allerton,Arts of Asia,Chinese (culture or style),Painting,,,"https://www.artic.edu/iiif/2/c7adaf02-ce59-d7da-4110-8ffb97543c5b/full/843,/0/default.jpg",chinese_art_images\19.jpg
11435,Jiasha (Mantle),"Han
China","Qing dynasty (1644–1911), 1650/1725",China,Textiles,"A work made of silk, gold-leaf-over-lacquered-paper-strip-wrapped silk, and peacock feathers, slit tapestry weave with interlaced outlining; silk, 1:1 plain oblique interlaced tapes; lined with silk, warp-float faced 4:1 satin weave.","Silk, gold-leaf-over-lacquered-paper-strip-wrapped silk, and peacock feathers, slit tapestry weave with interlaced outlining; silk, 1:1 plain oblique interlaced tapes; lined with silk, warp-float faced 4:1 satin weave",134.9 × 267.3 cm (53 1/8 × 105 1/4 in.); At edge: H.: 109.2 cm (43 1/8 in.),,"Art Institute of Chicago, Elizabeth F. Cheney and Agnes Allerton Textile Galleries, Clothed to Rule the Universe: Ming and Qing Dynasty Textiles at The Art Institute of Chicago, Sept. 13, 2000–Jan. 2, 2001, cat. 41.","John E. Vollmer, et al., ""Clothed to Rule the Universe: Ming and Qing Dynasty Textiles at The Art Institute of Chicago,"" published in conjunction with the exhibition, Art Institute of Chicago Museum Studies 26, no. 2 (2000): 40-2, 66, 90, cat. 41, plate XXIII (ill.).",Gift of Alice Getty,Textiles,qing,Textile,,,"https://www.artic.edu/iiif/2/74c30cf4-6acb-65a2-c0b6-21dc0fff94aa/full/843,/0/default.jpg",chinese_art_images\20.jpg
11690,Maitreya Buddha,China,"Tang dynasty (A.D. 618–906), dated 705",China,Arts of Asia,"<p>Seated depictions of the Buddha originated in Indian art, perhaps in portraits of Indian royalty. The Chinese reserved this imagery for <em>Maitreya</em> (Chinese: <em>Mi-le</em>), the Buddha of the Future, who waits in a cosmic heaven before descending to earth. This figure of Maitreya is about to step off his throne into this world, fulfilling the hopes and prayers of the faithful. His right hand is raised in a <em>mudra</em> (gesture) meaning &quot;fear not.&quot;  Flames, emphasizing radiance and holy presence, border his outer halo, and his head is framed by an open lotus, whose blossoms also rise beneath his feet. Because it emerges pure white from muddy water, the lotus is a pervasive symbol of the Buddhist nature within all living things.</p>
",Limestone,82.3 × 33 × 30.2 cm (32 7/16 × 12 15/16 × 11 15/16 in.),,"Osaka, Museum of Oriental Ceramics, ""Chicago Bijutsukan Meihinten: Masterpieces of Chiense Arts from the Art Institute of Chicago,"" 1989, no. 38, traveled to the MOA Museum of Art, Atami and the Idemitsu Museum of Art, Tokyo.","May, Sally Ruth, ed. The Art Institute of Chicago - The Essential Guide, Chicago: The Art Institute of Chicago, 1993, p. 66.

Pearlstein, Elinor, ""The Chinese Collection at The Art Institute of Chicago: Foundations of Scholarly Taste,"" Orientations (June 1993), pp. 36-47, fig. 15.

Pal, Light of Asia (1984), cat. 177, p. 311.

Elinor Pearlstein and James T. Ulak, Asian Art in the Art Institutr of Chicago (Art Institute of Chicago / Harry N. Abrams, 1993), P. 148, p. 36, 40 (ill)


James N. Wood, ""The Art Institute of Chicago: The Essential Guide, Revised Edition"" (Art Institute of Chicago, 2003), p. 66",Gift of Alice Getty,Arts of Asia,Chinese (culture or style),Sculpture,,,"https://www.artic.edu/iiif/2/18fd2c70-eff4-33ca-b1d8-576757e6af4e/full/843,/0/default.jpg",chinese_art_images\21.jpg
11703,Enlightened Protector Mahakala with Six Arms (Shadbhuja),China or Tibet,18th/19th century,China,Arts of Asia,A work made of gilt copper alloy with traces of orange pigment.,Gilt copper alloy with traces of orange pigment,12.8 × 10 × 5 cm (5 × 3 7/8 × 2 in.),"Sold to the Art Institute of Chicago by Mr. M.W. Anthony, Seattle, Wa., November 27, 1923. Purchase was made possible by the Samuel N. Nickerson Fund.",,,Samuel M. Nickerson Fund,Arts of Asia,Himalayan,Sculpture,,,"https://www.artic.edu/iiif/2/f1a42a6e-ac69-a3f8-6a6b-8b118d540778/full/843,/0/default.jpg",chinese_art_images\22.jpg
117198,Ring with Dragon,China,"Eastern Zhou dynasty, Warring States period (480–221 B.C.)",China,Arts of Asia,A work made of bone with incised decoration.,Bone with incised decoration,Diam.: 3 cm (1 3/16 in.),,,,Through prior bequest of Arthur Rubloff,Arts of Asia,Chinese (culture or style),Costume and Accessories,,,"https://www.artic.edu/iiif/2/61cf73d2-6793-3993-240e-ea2a1b619488/full/843,/0/default.jpg",chinese_art_images\23.jpg
117554,Bodhisattva,"China, probably from the Cisheng Si (Cisheng temple), Henan province",Song dynasty (960-1278),China,Arts of Asia,A work made of ink and colors on primed mud-wall construction.,Ink and colors on primed mud-wall construction,84.5 × 57.2 cm (33 1/4 × 22 1/2 in.),,,,Kate S. Buckingham Fund,Arts of Asia,Chinese (culture or style),Architectural fragment,,,"https://www.artic.edu/iiif/2/6597bb58-d113-7369-7089-672f2d556dc3/full/843,/0/default.jpg",chinese_art_images\26.jpg
117578,Standing Bearded Official,China,Tang dynasty (618–907) or later,China,Arts of Asia,A work made of earthenware with traces of polychrome pigment.,Earthenware with traces of polychrome pigment,60 × 15.5 × 13 cm (23 5/8 × 6 1/8 × 5 1/8 in.),,,,Gift of Mrs. Robert B. Mayer,Arts of Asia,,Sculpture,,,"https://www.artic.edu/iiif/2/ca86ea4d-73b3-fb6a-47ef-c3a6b76afc20/full/843,/0/default.jpg",chinese_art_images\27.jpg
117579,Standing Official,China,Style of Tang dynasty (619–907),China,Arts of Asia,A work made of earthenware with three color (sancai) lead glazes.,Earthenware with three color (sancai) lead glazes,78.1 × 19.4 × 16.5 cm (30 3/4 × 7 5/8 × 6 1/2 in.),,,,Gift of Mrs. Robert B. Mayer,Arts of Asia,,Sculpture,,,"https://www.artic.edu/iiif/2/6baecb15-7bc3-f776-3a03-47c5c4bff7f7/full/843,/0/default.jpg",chinese_art_images\28.jpg
117593,Curly-Haired Youth,China,Style of Tang dynasty (618–906),China,Arts of Asia,A work made of earthenware with traces of pigment.,Earthenware with traces of pigment,H.: 4.9 cm (12 1/2 in.),,,,Gift of Mrs. Robert B. Mayer,Arts of Asia,,Sculpture,,,"https://www.artic.edu/iiif/2/bcea904e-e08e-fc8b-5a23-c02158853ac3/full/843,/0/default.jpg",chinese_art_images\29.jpg
117594,Vase with Dragon-Shaped Handle and Two Loop Handles,China,Sui dynasty (581–618),China,Arts of Asia,A work made of stoneware with olive-green glaze.,Stoneware with olive-green glaze,18.7 × 11.1 cm (7 3/8 × 4 3/8 in.); Diam.: 11.1 cm (4 3/8 in.),,,,Gift of Mrs. Robert B. Mayer,Arts of Asia,Chinese (culture or style),Vessel,,,"https://www.artic.edu/iiif/2/162a68d4-16b9-7b7a-3e6a-444face5dcfb/full/843,/0/default.jpg",chinese_art_images\30.jpg
117602,Caparisoned Horse,China,"Northern Wei dynasty (386–535), early 6th century",China,Arts of Asia,A work made of earthenware with traces of polychromy.,Earthenware with traces of polychromy,21.7 × 23.5 × 16.2 cm (8 9/16 × 9 1/4 × 6 3/8 in.),,,,Gift of Mrs. Robert B. Mayer,Arts of Asia,Chinese (culture or style),Sculpture,,,"https://www.artic.edu/iiif/2/a782e57e-1f06-f99e-7f62-b5fe90f69fd2/full/843,/0/default.jpg",chinese_art_images\31.jpg
117617,Groom,China,"Tang dynasty (618–907), first half of 8th century",China,Arts of Asia,A work made of earthenware with three-color (sancai) lead glazes.,Earthenware with three-color (sancai) lead glazes,62.2 × 21 × 18 cm (24 1/2 × 8 1/4 × 7 1/16 in.),,,,Gift of Mrs. Robert B. Mayer,Arts of Asia,Chinese (culture or style),Sculpture,,,"https://www.artic.edu/iiif/2/be36f5c9-e859-5baa-64b7-c053707261c8/full/843,/0/default.jpg",chinese_art_images\32.jpg
117708,Dishes Inlaid with Images of Ancient Bronzes,China,Qing dynasty (1644–1911),China,Arts of Asia,A work made of lacquer with inlay.,Lacquer with inlay,12.7 × 13.6 × 1.1 cm (5 × 5 3/8 × 7/16 in.),,,,Gift of Mr. & Mrs. Philip Pinsof,Arts of Asia,Chinese (culture or style),Decorative Arts,,,"https://www.artic.edu/iiif/2/a0bf2278-43e7-e6d4-b81f-0a0854f4f639/full/843,/0/default.jpg",chinese_art_images\33.jpg
117711,Lacquer Box with Mother-of-Pearl Inlay,China,Qing dynasty (1644-1911),China,Arts of Asia,"A work made of lacquer box in shape of double stalk of bamboo, cover with nacre, inlay foliated panel of 3 scholars in garden, surrounding inlaid border composed of six-pointed stars in diamond outline pattern.","lacquer box in shape of double stalk of bamboo, cover with nacre, inlay foliated panel of 3 scholars in garden, surrounding inlaid border composed of six-pointed stars in diamond outline pattern",6.8 × 5.3 × 2.9 cm (2 11/16 × 2 1/16 × 1 1/8 in.),,,,Gift of Mr. and Mrs. Philip Pinsof,Arts of Asia,,Vessel,,,"https://www.artic.edu/iiif/2/e47d6afd-3fb0-f8d8-4336-d9b6105f933c/full/843,/0/default.jpg",
117746,Snuff Bottle,China,Qing dynasty (1644–1911),China,Arts of Asia,,Tourmaline,H.: 5.1 cm (2 in.),,,,Lucy Maud Buckingham Collection,Arts of Asia,,Vessel,,,,
117775,Baluster Vase with Figures and Pavillions amid Moutaineous Landscape,China,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",China,Arts of Asia,A work made of porcelain painted in underglaze blue.,Porcelain painted in underglaze blue,47.1 × 18.5 cm (18 9/16 × 7 1/4 in.); Diam.: 18.5 cm (7 1/4 in.),,,,Gift of Mr. and Mrs. Samuel M. Nickerson,Arts of Asia,Chinese (culture or style),Vessel,,,"https://www.artic.edu/iiif/2/f93e7da0-fb2a-8a36-4f8f-d99d93c28eef/full/843,/0/default.jpg",chinese_art_images\35.jpg
117778,Trumpet-Mouth Vase with Stylized Chrysanthemums and Vines,China,Qing dynasty (1644–1911),China,Arts of Asia,A work made of porcelain painted in underglaze blue.,Porcelain painted in underglaze blue,46.8 × 22.6 cm (18 7/16 × 8 7/8 in.); Diam.: 22.6 cm (8 7/8 in.),,,,Gift of Mr. and Mrs. Samuel M. Nickerson,Arts of Asia,Chinese (culture or style),Vessel,,,"https://www.artic.edu/iiif/2/1fb1b1a6-7e27-8912-095b-ce757a994d6b/full/843,/0/default.jpg",chinese_art_images\36.jpg
118546,Cocoon-Shaped Flask (Jianxinghu),"China, probably Shaanxi or Hunan province","Qin or early Western Han dynasty, late 3rd or 2nd century BCE",China,Arts of Asia,A work made of buff earthenware with polychrome pigments.,Buff earthenware with polychrome pigments,31 × 26 × 21 cm (12 1/4 × 10 1/4 × 8 1/4 in.),,,,Gift of Cathay and Joyce Li in memory of James W. Alsdorf,Arts of Asia,Chinese (culture or style),Vessel,,,"https://www.artic.edu/iiif/2/7555f806-d59f-3d54-6f70-b71cb4ad2669/full/843,/0/default.jpg",chinese_art_images\37.jpg
118803,Elongated Foliate Dish with Fish and Central Floret,China,"Liao (907–1124) or Jin dynasty (1115–1234), 10th/11th century",China,Arts of Asia,A work made of slip-coated earthenware with three color (sancai) lead glazes.,Slip-coated earthenware with three color (sancai) lead glazes,2.6 × 27.5 × 16 cm (1 × 10 13/16 × 6 5/16 in.),,,,Gift of Aristotle Soter,Arts of Asia,Chinese (culture or style),Vessel,,,"https://www.artic.edu/iiif/2/608474d8-0754-47af-c15f-9d53f8d07844/full/843,/0/default.jpg",chinese_art_images\38.jpg
118844,Snuff Bottle with Dragons,China,Qing dynasty (1644–1911),China,Arts of Asia,,Pale yellow porcelain,7.9 × 3.8 × 2.2 cm (3 1/8 × 1 1/2 × 7/8 in.),,,,"Mr. and Mrs. Theodore A. Shaw, Jr. Collection",Arts of Asia,,Vessel,,,,
118878,Hexagonal Covered Box with Birds and Flowers,China,"Qing dynasty (1644–1911), Kangxi reign mark and period (1662–1723)",China,Arts of Asia,A work made of silver.,Silver,10.8 × 26.9 × 26.8 cm (4 1/4 × 10 9/16 × 10 9/16 in.),,,,S.M. Nickerson Sundry Trust Fund,Arts of Asia,,Vessel,,,"https://www.artic.edu/iiif/2/4aa2a0e1-d8a2-06ab-e2d4-17e65f9b231d/full/843,/0/default.jpg",chinese_art_images\39.jpg
118882,Dish with Butterflies and Flowers,China,"Qing Dynasty (1644–1911), Qianlong period (1736–1796)",China,Arts of Asia,A work made of famille-rose enamel on copper or brass base.,Famille-rose enamel on copper or brass base,3.6 × 21.5 cm (1 7/16 × 8 7/16 in.); Diam.: 21.5 cm (8 7/16 in.),,,,Gift of Miss Naomi Donnelley,Arts of Asia,,Vessel,,,"https://www.artic.edu/iiif/2/86063849-a370-67de-e290-db1b8db5f1c5/full/843,/0/default.jpg",chinese_art_images\40.jpg
12013,Model of a Two-Story Structure,China,"Eastern Han dynasty, 25–220 CE",China,Arts of Asia,"<p>Burial models attest to the prevalence of multistoried buildings in early imperial China. This two-story structure, simply constructed of clay slabs, has a tile roof and an openwork balcony supported by brackets. Such realistic details are modified by imaginative &quot;squatting-bear&quot; feet. This model may depict a granary, or it may have been assembled with other clay structures to form a residential compound.</p>
",Brick-red earthenware with green lead glaze,51.6 × 33.5 × 11.5 cm (20 5/16 × 13 3/16 × 4 1/2 in.),,,,Lucy Maud Buckingham Collection,Arts of Asia,Chinese (culture or style),Sculpture,,,"https://www.artic.edu/iiif/2/79ed8214-61f0-e6ad-77cb-865bb866a412/full/843,/0/default.jpg",chinese_art_images\41.jpg
12018,Globular Jar with Mock Ogre Mask Ring Handles,China,Han dynasty (206 B.C.–A.D. 220),China,Arts of Asia,A work made of earthenware with underglaze molded decoration and lead green glaze.,Earthenware with underglaze molded decoration and lead green glaze,39.1 × 30.7 cm (15 3/8 × 12 1/8 in.); Diam.: 30.7 cm (12 1/8 in.),,,,Lucy Maud Buckingham Collection,Arts of Asia,Chinese (culture or style),Vessel,,,"https://www.artic.edu/iiif/2/d3f6b2fd-249e-9805-e622-4e8a56667f3a/full/843,/0/default.jpg",chinese_art_images\42.jpg
