Portfolio,Provenance Statement,Date,Signed,Period,(not entered),Artist,On View,Img_path,Markings,More Information,Inscribed,Dynasty,Classifications,Dimensions,Credit Line,Culture,Object number,Materials,Place of Origin,Department,Img_url,Title
,,1970,"“三千”（白文方印）、“自詡名山足此生”（朱文方印）、“大風堂印”（朱文方印）、“己亥己巳戊庚辛丙”（白文方印）。
Sanqian (square intaglio), Zixu mingshan zu chisheng (square relief), Dafengtang yin (square relief), jihai jisi wugeng xinbing (square intaglio).",,,"Chang Dai-chien (Zhang Daqian; Chinese, 1899 - 1983)",Not on view,images_china/asian_china11.jpg,,"Malachite (copper green) and azurite (copper blue) along with ink have been used in Chinese painting for more than a millennium to evoke a dreamy utopian landscape, generally on intimate scales that nevertheless suggest the grandeur of immense mountain ranges. Chang Dai-chien brings a different intensity to the genre of blue-and-green landscapes here. The atmosphere in this massive work quivers with vitality, as brusque modulations of paint surround a stately dawn redwood tree—a sacred tree in Taiwan and a symbol of longevity. Chang was himself about seventy years old when he painted this work.","“‘四山云不尽蟠虬，直幹巍然百尺脩。不與兒曹同俛仰，飽風飽雨自千秋。’ 臺灣橫貫公路神木。五十九年六月自臺北還，可以居寫。爰翁。”
‘Endless surrounding clouds of the mountains cover the dragon-like trees, which stand tall and upright, with their trunks hundred feet in height. They stay together to experience wind and rain for the past thousand years, never begging for something as your folks.’
(I) painted divine redwoods on the East-West highway crossing Taiwan. I painted this at Keyiju, after I came back from Taipei in the sixth lunar month in the 59th year (of the republican period). Old man Yuan.",,Painting,Framed: H. 59 5/8 in × W. 83 7/16 in × D. 1 1/4 in (151.4 cm × 211.9 cm × 3.2 cm) Image: H. 58 3/8 in × W. 82 7/16 in (148.3 cm × 209.4 cm),Gift of the artist,,B73D4,Ink and colors on paper,,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/59047/preview,Divine Redwood Trees (Shenmu) In Taiwan
,,approx. 1600-1700,,,,,Not on view,images_china/asian_china12.jpg,,"明末清初犀瘮椫緇游江河犜壁山林圖杯 This cup illustrates scenes from the famous essay the Red Cliff written in 1082 by Su Shi (1036-1101). Depicted on one side of the cup is a a large sailing boat on river waves with eight people pulling oars. The two scholars standing outside of a tall castle are probably Su Shi and an associate arriving in the ancient city of Huangzhou. The story ends on the opposite side with a depiction of a river bank with anchored boats. The openwork carving on the handle consists of trees and craggy mountains that continue inside the mouth. Rhinoceros horn (which is actually a dense accretion of hair) is well-suited for carving. The decoration on horn cups often shares themes with other functional arts, such as lacquer carving and ceramics. Very few rhinoceros horn cups were created during most of the 1400s and the first decades of the 1500s; this can be attributed to the rarity of the animal in China, along with restrictions on imports from other countries. These import restrictions were lifted in 1565, which corresponded with a period of economic prosperity throughout much of China. Demand for luxury items like cups made from rhino horn was high at this time. As a result, the period from 1565 through the early 1700s is considered the classical period for carved rhino horn cups. But demand for horn exceeded the supply, and the rhinoceros was driven to the point of extinction throughout much of East and Southeast Asia. The Rhinoceros in Chinese Culture Rhinoceros horn was thought by the Chinese to help cure certain diseases, neutralize poisons, and increase male virility. The horn was both ground for medicine and carved into elaborate vessels for wealthy patrons. Such vessels might be artworks in themselves, and finest were - and are - eagerly sought by collectors. Archaeological evidence indicates that in ancient times rhinoceros were also harvested for their thick skins, which were used as armor. Overhunting and destruction of habitat caused the rhinoceros to become nearly extinct in China by the beginning of the Ming dynasty (1368-1644). Unfortunately, demand for animal products with purported medicinal qualities remains strong today, and this demand - exacerbated by the country's recent economic boom - is still a major factor in the extinction or near extinction of a number of animal species. It has also led to a strong market for antique rhino horn cups. In the past decade the high price paid at auction for rhino horn has increased by a factor of more than twenty. This is reflected in the high monetary values recently given to rhino horn cups on the television program Antiques Roadshow. The famous ritual vessel in the shape of a rhinoceros on display in gallery 14 on the museum's third floor is one of the earliest and most realistic depictions of the rhinoceros to be found anywhere in the world. In ancient times two species of rhino frequented the woods and grasslands of China; one was small and had a single horn. The second was much larger, and had two horns. The bronze rhino vessel depicts the second type. It shows that the cultural importance of the rhinoceros for the Chinese began in ancient times. Today many people in China and throughout the world are working to protect this magnificent endangered animal. For more information on the rhinoceros and its plight visit www.worldwildlife.org and search for ""rhino.""",,Ming dynasty (1368-1644) or Qing dynasty (1644-1911),Decorative Arts,"H. 10.2 cm x W. 5 3/8 in x D. 3 3/4 in, H. 10.2 cm x W. 13.5 cm x D. 9.6 cm","Transfer from the Fine Arts Museums of San Francisco, Gift of Sanford Lowergart",,B68M13,Rhinoceros horn,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/23150/preview,Cup with a scene of the Red Cliff
,,338,,,,,On view,images_china/asian_china13.jpg,,"Buddha Dated 338 This statue is the earliest known dated Buddha sculpture produced in China, with an inscription on its base mentioning the year 338. This date is about four hundred years after Buddhism was introduced from India to China. Originally from an altar shrine, this Buddha statue was once seated on a platform and adorned with a canopy and two halos. It is among the largest bronze sculptures to have survived from the fourth century, when Chinese Buddha images were heavily influenced by the art of ancient Gandhara in modern Pakistan, Afghanistan, and India. Chinese characteristics make this statue an important milestone in the development of Buddhist art in China. The figure’s arrangement, with legs crossed beneath an evenly draped robe and set on a rectangular pedestal, is probably modeled after a Gandharan prototype brought to China via the Silk Road. However, this Buddha’s overlapping, inward-facing palms are adopted from a formal Chinese gesture of reverence. His face, hairstyle, robe, and throne have also been adapted according to Chinese preferences to attract native devotees. The social and political chaos and the invasions of nomadic peoples from the north contributed to the rapid spread of Buddhism among various ethnic groups who all sought spiritual relief and a better afterlife. The fragmentary inscription on the back of the base indicates this statue belonged to the Later Zhao kingdom (319–351), a kingdom founded in Hebei by a nomadic people who eventually controlled most of northern China. It was in this kingdom where Buddhism became a state-sponsored, widespread religion after being a minority religion for hundreds of years. This statue was commissioned by a monk who  was probably a foreign disciple of the famous Indian monk Fotudeng. Fotudeng arrived in the Central Plains in 310, preaching the Buddhist faith and seeking converts. He was trusted by Later Zhao rulers as a miraculous and venerated master and served as the principal religious counsel and military adviser in their campaigns to expand the territory. To worship Buddha for blessings of victory, these non-Han rulers commissioned the building of large-scale temples, the construction of ornamented grottoes, and the mass production of Buddhist statues. The partial inscription on the base reads: 建武四年, 歲在戊戌, 八月卅日, 比丘竺...
慕道德...及三...生。 In the fourth year of the Jianwu reign era (338), the year of wuxu, on the 30th of the eighth lunar month, a monk named Zhu...respect moral and virtue...and three...livings.","The partial inscription on the base reads:
建武四年, 歲在戊戌, 八月卅日, 比丘竺...慕道德...及三...生。
In the fourth year of the Jianwu reign era (338), the year of wuxu, on the 30th of the eighth lunar month, a monk named Zhu...respect moral and virtue...and three...livings.",Later Zhao kingdom (319-351),Sculpture,"H. 15 3/4 in x W. 9 1/2 in x D. 5 1/4 in, H. 40 cm x W. 24.1 cm x D. 13.3 cm",The Avery Brundage Collection,,B60B1034,Bronze with gilding,"Hebei province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/46214/preview,Buddha dated 338
,,approx. 1600-1700,,,,,Not on view,images_china/asian_china14.jpg,,"明末清初犀瘮椫 仿古禮器八方八夔恳椧翍杯 This cup is in the shape of an ancient ritual vessel. The shallow-relief designs that ornament the exterior of the cup were also adopted from motifs found on ancient bronze vessels and jades. The main design on each side is a large beast mask known as a taotie. The main design of the cup consists of stylized phoenix patterns against a squared spiral ground. The cup features eight small dragons (chi long), seven on the outside, and one on the inside Rhinoceros horn (which is actually a dense accretion of hair) is well-suited for carving. The decoration on horn cups often shares themes with other functional arts, such as lacquer carving and ceramics. Very few rhinoceros horn cups were created during most of the 1400s and the first decades of the 1500s; this can be attributed to the rarity of the animal in China, along with restrictions on imports from other countries. These import restrictions were lifted in 1565, which corresponded with a period of economic prosperity throughout much of China. Demand for luxury items like cups made from rhino horn was high at this time. As a result, the period from 1565 through the early 1700s is considered the classical period for carved rhino horn cups. But demand for horn exceeded the supply, and the rhinoceros was driven to the point of extinction throughout much of East and Southeast Asia. The Rhinoceros in Chinese Culture Rhinoceros horn was thought by the Chinese to help cure certain diseases, neutralize poisons, and increase male virility. The horn was both ground for medicine and carved into elaborate vessels for wealthy patrons. Such vessels might be artworks in themselves, and finest were - and are - eagerly sought by collectors. Archaeological evidence indicates that in ancient times rhinoceros were also harvested for their thick skins, which were used as armor. Overhunting and destruction of habitat caused the rhinoceros to become nearly extinct in China by the beginning of the Ming dynasty (1368-1644). Unfortunately, demand for animal products with purported medicinal qualities remains strong today, and this demand - exacerbated by the country's recent economic boom - is still a major factor in the extinction or near extinction of a number of animal species. It has also led to a strong market for antique rhino horn cups. In the past decade the high price paid at auction for rhino horn has increased by a factor of more than twenty. This is reflected in the high monetary values recently given to rhino horn cups on the television program Antiques Roadshow. The famous ritual vessel in the shape of a rhinoceros on display in gallery 14 on the museum's third floor is one of the earliest and most realistic depictions of the rhinoceros to be found anywhere in the world. In ancient times two species of rhino frequented the woods and grasslands of China; one was small and had a single horn. The second was much larger, and had two horns. The bronze rhino vessel depicts the second type. It shows that the cultural importance of the rhinoceros for the Chinese began in ancient times. Today many people in China and throughout the world are working to protect this magnificent endangered animal. For more information on the rhinoceros and its plight visit www.worldwildlife.org and search for ""rhino.""",,Ming dynasty (1368-1644) or Qing dynasty (1644-1911),Decorative Arts,H. 8.5 cm x W. 11.8 cm x D. 8.8 cm,"Transfer from the Fine Arts Museums of San Francisco, Gift of Sanford Lowergart",,B68M17,Rhinoceros horn,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/23155/preview,Octagonal cup in a shape of ancient bronze vessel
,,,,,,,Not on view,images_china/asian_china15.jpg,,,,Tang dynasty (618-907),Ceramics,"H. 9 7/8 in x Diam. 8 1/8 in, H. 25.1 cm x Diam. 20.7 cm",The Avery Brundage Collection,,B60P201,Glazed low-fired ceramic,"Shaanxi province or Henan province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/16584/preview,Neckless jar
,,approx. 1600-1700,,,,,Not on view,images_china/asian_china16.jpg,,"明末清初犀瘮椫 仿古禮器八方暫曒紋圖椧翍杯 This cup is in the shape of an ancient ritual. The shallow-relief designs that ornament the exterior of the cup were also adopted from motifs found on ancient bronze vessels and jades. The main design on each side is a large beast mask known as a taotie. Rhinoceros horn (which is actually a dense accretion of hair) is well-suited for carving. The decoration on horn cups often shares themes with other functional arts, such as lacquer carving and ceramics. Very few rhinoceros horn cups were created during most of the 1400s and the first decades of the 1500s; this can be attributed to the rarity of the animal in China, along with restrictions on imports from other countries. These import restrictions were lifted in 1565, which corresponded with a period of economic prosperity throughout much of China. Demand for luxury items like cups made from rhino horn was high at this time. As a result, the period from 1565 through the early 1700s is considered the classical period for carved rhino horn cups. But demand for horn exceeded the supply, and the rhinoceros was driven to the point of extinction throughout much of East and Southeast Asia. The Rhinoceros in Chinese Culture Rhinoceros horn was thought by the Chinese to help cure certain diseases, neutralize poisons, and increase male virility. The horn was both ground for medicine and carved into elaborate vessels for wealthy patrons. Such vessels might be artworks in themselves, and finest were - and are - eagerly sought by collectors. Archaeological evidence indicates that in ancient times rhinoceros were also harvested for their thick skins, which were used as armor. Overhunting and destruction of habitat caused the rhinoceros to become nearly extinct in China by the beginning of the Ming dynasty (1368-1644). Unfortunately, demand for animal products with purported medicinal qualities remains strong today, and this demand - exacerbated by the country's recent economic boom - is still a major factor in the extinction or near extinction of a number of animal species. It has also led to a strong market for antique rhino horn cups. In the past decade the high price paid at auction for rhino horn has increased by a factor of more than twenty. This is reflected in the high monetary values recently given to rhino horn cups on the television program Antiques Roadshow. The famous ritual vessel in the shape of a rhinoceros on display in gallery 14 on the museum's third floor is one of the earliest and most realistic depictions of the rhinoceros to be found anywhere in the world. In ancient times two species of rhino frequented the woods and grasslands of China; one was small and had a single horn. The second was much larger, and had two horns. The bronze rhino vessel depicts the second type. It shows that the cultural importance of the rhinoceros for the Chinese began in ancient times. Today many people in China and throughout the world are working to protect this magnificent endangered animal. For more information on the rhinoceros and its plight visit www.worldwildlife.org and search for ""rhino.""",,Ming dynasty (1368-1644) or Qing dynasty (1644-1911),Decorative Arts,H. 2 1/2 in x W. 4 1/8 in,The Avery Brundage Collection,,B65M24,Rhinoceros horn with archaic bronze and jade decoration,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/22437/preview,Octagonal cup in a shape of ancient bronze vessel
,,1982,,,,"Yang Yanping (Chinese, b. 1934)",Not on view,images_china/asian_china17.jpg,"""Yang""","This depiction of a mother nursing her infant is a contemporary scene that pays homage to the style of the Impressionists. The mother’s body is portrayed in a manner unlike a traditional Chinese female figure, with muscular arms and legs rendered with solid dark-gray colors. With a broad application of ink wash, Yang Yanping suggests a solidity and weight for the mother, who will be the protector of this child for years to come. In contrast to the heavy brushstrokes, Yang uses a series of refined dots and short dashes for the large woven fishnet the mother sits on, and delicate brushwork to indicate a seaside location. Touches of light purples and pink give the picture a feeling of femininity. This memorable depiction comes from Yang’s experience during her travels in southeastern China in 1982. Although Yang absorbed the influence of many Impressionist works and shared their enthusiasm for scenes of modern life, she also developed her own unique expression, exploring the use of nontraditional methods to create stylized yet realistic images.",,,Painting,"H. 66 in x W. 24 in, H. 167.6 cm x W. 61.0 cm (overall)",Gift of Shang-Qing Zeng,,2010.46,Ink and colors on paper,,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/62583/preview,Nursing an Infant on Fishnet
,,1978,,,,"Xiao Shufang (Chinese, 1911 - 2005)",Not on view,images_china/asian_china18.jpg,Xiao Shufang (seal),"Inscription (by Xiao's husband, the renowned calligrapher Wu Zuoren): Many Colors. Xiao Shufang paints tulips in the summer of 1978. This painting, which at first glance appears to be a simple still life of tulips, is in fact a expression regarding major changes in China's artistic environment. How do we know this? Tulips are not native to China, which means the artist intentionally chose a foreign topic. This would have taken some courage in 1978, just two years after the end of the Cultural Revolution. This is one of a series of tulip paintings Xiao Shufang did to celebrate China's new openness to the West. Xiao Shufang was born in Zhongshan, Guangdong province, in southern China, and studied painting at the Beijing Art School and Nanjing Central University with such leading artists as Xu Beihong (1895-1953). Between 1937 and 1940 Xiao lived in England, where she studied watercolor and sculptureùand quite likely saw tulips. She returned to China and, as with many foreign-trained artists of her generation, faced many challenges, particularly during the Cultural Revolution (1966-1976). In the 1980s and 1990s she reemerged as one of China's leading artists and taught at the Central Art Academy in Beijing.","""Many colors. Xiao Shufang paints tulips in the summer of 1978.""",,Painting,"H. 30 3/4 in x W. 20 1/4 in, H. 78.1 cm x W. 51.44 cm Image; H. 70 in x W. 29 in, H. 177.8 cm x W. 73.7 cm Overall",Gift of the Jack Anderson Collection,,1994.125,Ink and colors on paper,,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/2457/preview,Many Colors
,,,,,,,Not on view,images_china/asian_china19.jpg,,,,Tang dynasty (618-907),Ceramics,Overall: H. 13 in × W. 5 in × D. 6 15/16 in (33 cm × 12.7 cm × 17.6 cm),The Avery Brundage Collection,,B60P214,Glazed low-fired ceramic,"Shaanxi province or Henan province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/47345/preview,Bird-headed ewer
,,approx. 1600,,,,,Not on view,images_china/asian_china20.jpg,,,,Ming dynasty (1368-1644),Decorative Arts,"H. 4 5/8 in x W. 4 7/8 in x 6 7/8 in, H. 11.8 cm x W. 12.4 cm x D. 17.5 cm",The Avery Brundage Collection,,B65M23,Rhinoceros horn,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/22436/preview,Cup with a scene of the Red Cliff
