subject,predicate,object
15,现藏博物馆是,亚洲艺术博物馆
15,类型是,绘画
20,创作者是,刘虹
20,尺寸是,"整体（A）：高42 1/2英寸 × 宽28英寸 × 深1 9/16英寸（108厘米 × 71.1厘米 × 4厘米）
整体（B）：高3 1/4英寸 × 宽15 1/4英寸 × 深1 9/16英寸（8.3厘米 × 38.7厘米 × 4厘米）"
20,材质是,异形画布上的油画
20,现藏博物馆是,亚洲艺术博物馆
20,类型是,绘画
19,创作者是,刘虹
19,尺寸是,整体尺寸：高54 3/16英寸 × 宽36 1/16英寸 × 深1 9/16英寸（137.6厘米 × 91.6厘米 × 4厘米）
19,材质是,布面油画
19,现藏博物馆是,亚洲艺术博物馆
19,类型是,绘画
14,创造年代是,清朝
14,尺寸是,H. 3 1/2 英寸
14,材质是,釉瓷
14,现藏博物馆是,亚洲艺术博物馆
14,来源地是,中国
14,类型是,装饰艺术
18,创造年代是,清朝
18,尺寸是,高39英寸，高99.0厘米
18,材质是,丝绸
18,现藏博物馆是,亚洲艺术博物馆
18,来源地是,中国
18,类型是,纺织品
17,创造年代是,清朝
17,尺寸是,裙子宽110英寸，长35又1/4英寸；腰带宽43英寸
17,材质是,丝绸锦缎配刺绣装饰
17,现藏博物馆是,亚洲艺术博物馆
17,来源地是,中国
17,类型是,纺织品
16,创造年代是,清朝
16,尺寸是,高38 3/4英寸×宽49 1/2英寸，高98.4厘米×宽125.7厘米（顶部）；高38英寸×宽43英寸，高96.5厘米×宽109.2厘米（裙部）
16,材质是,棉质上衣搭配缎面裙
16,材质是,饰有金
16,材质是,银及丝线刺绣
16,现藏博物馆是,亚洲艺术博物馆
16,来源地是,中国北京
16,类型是,纺织品
22,尺寸是,H. 68 1/2 英寸 × W. 64 英寸 (174 厘米 × 40.6 厘米)
22,材质是,红木与瓷器
22,现藏博物馆是,亚洲艺术博物馆
22,来源地是,中国
22,类型是,装饰艺术
23,尺寸是,整体尺寸：高40 1/8英寸 × 宽20 7/8英寸 × 深17 1/8英寸（101.9厘米 × 53厘米 × 43.5厘米）
23,材质是,红木
23,现藏博物馆是,亚洲艺术博物馆
23,来源地是,中国
23,类型是,装饰艺术
24,尺寸是,整体尺寸：高41 3/8英寸 × 宽20 3/8英寸 × 深16 7/8英寸（105.1厘米 × 51.8厘米 × 42.9厘米）
24,材质是,红木
24,现藏博物馆是,亚洲艺术博物馆
24,来源地是,中国
24,类型是,装饰艺术
26,尺寸是,整体尺寸：高36又7/8英寸 × 宽24又1/8英寸 × 深25又3/4英寸（93.7厘米 × 61.3厘米 × 65.4厘米）
26,材质是,榆木
26,现藏博物馆是,亚洲艺术博物馆
26,来源地是,中国
26,类型是,装饰艺术
27,尺寸是,整体尺寸：高35英寸 × 宽46又7/8英寸 × 深17又1/2英寸（88.9厘米 × 119.1厘米 × 44.5厘米）
27,材质是,黄花梨
27,现藏博物馆是,亚洲艺术博物馆
27,来源地是,中国
27,类型是,装饰艺术
25,尺寸是,整体尺寸：高36 3/4英寸 × 宽24 3/8英寸 × 深24 1/4英寸（93.3厘米 × 61.9厘米 × 61.6厘米）
25,材质是,榆木
25,现藏博物馆是,亚洲艺术博物馆
25,来源地是,中国
25,类型是,装饰艺术
29,尺寸是,整体尺寸：高41又15/16英寸 × 宽23又1/4英寸 × 深19又3/4英寸（106.5厘米 × 59.1厘米 × 50.2厘米）
29,材质是,黄花梨
29,现藏博物馆是,亚洲艺术博物馆
29,来源地是,中国
29,类型是,装饰艺术
30,尺寸是,D. 3/4英寸 x 直径7 7/8英寸，D. 1.9厘米 x 直径20.1厘米
30,材质是,漆
30,材质是,红
30,材质是,绿
30,材质是,黑
30,现藏博物馆是,亚洲艺术博物馆
30,来源地是,可能在中国福州地区
30,类型是,装饰艺术
21,创造年代是,清朝
21,尺寸是,高35.5英寸×宽60.5英寸，高90.2厘米×宽153.7厘米
21,材质是,日本和中国的丝绸
21,材质是,镀金纽扣以及进口的编织带
21,现藏博物馆是,亚洲艺术博物馆
21,来源地是,中国
21,类型是,纺织品
28,尺寸是,整体尺寸：高42英寸 × 宽23 1/4英寸 × 深19 3/4英寸（106.7厘米 × 59.1厘米 × 50.2厘米）
28,材质是,黄花梨（中国红木）
28,现藏博物馆是,亚洲艺术博物馆
28,来源地是,中国
28,类型是,装饰艺术
33,创作者是,李维欣
33,尺寸是,高46 3/4英寸×宽25英寸，高119厘米×宽63.5厘米（整体尺寸）
33,材质是,纸本水墨设色
33,现藏博物馆是,亚洲艺术博物馆
33,类型是,绘画
31,创作者是,米广江
31,尺寸是,高35 3/4英寸×宽20 3/4英寸，高90.8厘米×宽36.2厘米（画面）；高54 1/4英寸×宽20 3/4英寸，高137.8厘米×宽52.7厘米（整体）
31,材质是,纸上墨迹
31,现藏博物馆是,亚洲艺术博物馆
31,类型是,绘画
36,创作者是,林风眠
36,尺寸是,高15英寸×宽12又1/4英寸，高38厘米×宽31厘米（图像）；高29英寸×宽22英寸，高71.1厘米×宽55.9厘米（整体衬垫）
36,材质是,纸本水墨设色
36,现藏博物馆是,亚洲艺术博物馆
36,类型是,绘画
32,创作者是,张人骏
32,创造年代是,清朝
32,尺寸是,高30.48厘米 × 宽61.28厘米（原尺寸：高12英寸 × 宽24又1/8英寸）
32,材质是,纸本水墨设色
32,现藏博物馆是,亚洲艺术博物馆
32,来源地是,中国
32,类型是,绘画
35,创造年代是,清朝
35,尺寸是,高7英寸×宽4英寸，高18厘米×宽10.15厘米
35,材质是,金属珐琅
35,现藏博物馆是,亚洲艺术博物馆
35,来源地是,中国
35,类型是,金属艺术
34,创作者是,古方
34,创造年代是,清朝
34,尺寸是,高97英寸×宽28 1/8英寸，高246.4厘米×宽71.4厘米（整体）；高55 1/2英寸×宽22 7/8英寸，高141.0厘米×宽58.1厘米（图像）
34,材质是,绢本设色
34,现藏博物馆是,亚洲艺术博物馆
34,来源地是,中国
34,类型是,绘画
37,创作者是,林风眠
37,尺寸是,图片尺寸：高11 3/4英寸 × 宽14 3/4英寸（29.8厘米 × 37.5厘米）
37,材质是,纸本水墨设色
37,现藏博物馆是,亚洲艺术博物馆
37,类型是,绘画
39,尺寸是,高35 1/4英寸×宽35 1/4英寸，高89.5厘米×宽89.5厘米（画面）；高41英寸×宽40 3/4英寸，高104.1厘米×宽103.5厘米（整体）
39,材质是,纸上墨彩
39,现藏博物馆是,亚洲艺术博物馆
39,类型是,绘画
38,创造年代是,明朝
38,尺寸是,高66 1/4英寸×宽38 1/2英寸，高168.3厘米×宽97.8厘米
38,材质是,绢本设色
38,现藏博物馆是,亚洲艺术博物馆
38,来源地是,中国
38,类型是,绘画
40,创造年代是,商朝
40,尺寸是,高9英寸×宽9英寸×深14½英寸，高22.8厘米×宽22.8厘米×深32.8厘米
40,材质是,青铜
40,现藏博物馆是,亚洲艺术博物馆
40,来源地是,中国
40,类型是,金属艺术
41,创作者是,張大千
41,尺寸是,装裱后尺寸：高59 5/8英寸 × 宽83 7/16英寸 × 厚1 1/4英寸（151.4厘米 × 211.9厘米 × 3.2厘米）画心尺寸：高58 3/8英寸 × 宽82 7/16英寸（148.3厘米 × 209.4厘米）
41,材质是,纸本水墨设色
41,现藏博物馆是,亚洲艺术博物馆
41,类型是,绘画
44,创造年代是,明朝
44,尺寸是,高1 3/4英寸×直径8 3/4英寸，高4.5厘米×直径22.3厘米
44,材质是,釉下彩瓷器
44,现藏博物馆是,亚洲艺术博物馆
44,来源地是,中国江西省景德镇
44,类型是,陶瓷
42,创造年代是,明朝
42,尺寸是,高11英寸×直径6英寸，高27.9厘米×直径15.2厘米
42,材质是,釉下彩瓷
42,现藏博物馆是,亚洲艺术博物馆
42,来源地是,中国江西省景德镇
42,类型是,陶瓷
43,创造年代是,唐朝
43,尺寸是,高6 3/4英寸×直径4 5/8英寸，高16.8厘米×直径10.2厘米
43,材质是,上釉陶器
43,现藏博物馆是,亚洲艺术博物馆
43,来源地是,中国陕西省或河南省
43,类型是,陶瓷
45,创造年代是,唐朝
45,尺寸是,高7 1/4英寸 x 直径8 1/2英寸，高18.4厘米 x 直径21.6厘米
45,材质是,上釉陶器
45,现藏博物馆是,亚洲艺术博物馆
45,来源地是,中国
45,类型是,陶瓷
47,创造年代是,唐朝
47,尺寸是,高18 5/8英寸×直径8 1/4英寸，高47.9厘米×直径21厘米
47,材质是,上釉陶器
47,现藏博物馆是,亚洲艺术博物馆
47,来源地是,中国
47,类型是,陶瓷
46,创造年代是,明朝
46,尺寸是,高2 3/4英寸×直径15 1/8英寸，高7厘米×直径38.4厘米
46,材质是,釉下彩瓷器
46,现藏博物馆是,亚洲艺术博物馆
46,来源地是,中国江西省景德镇
46,类型是,陶瓷
48,创造年代是,唐朝
48,尺寸是,高6.3厘米，直径28.6厘米
48,材质是,上釉陶器
48,现藏博物馆是,亚洲艺术博物馆
48,来源地是,中国
48,类型是,陶瓷
49,创作者是,吴冠中
49,尺寸是,高29 3/8英寸×宽37 3/8英寸，高74.6厘米×宽96.2厘米（画面）；高83 1/2英寸×宽42 5/8英寸，高212.1厘米×宽108.2厘米（整体）
49,材质是,纸本水墨设色
49,现藏博物馆是,亚洲艺术博物馆
49,类型是,绘画
50,创作者是,张明德
50,尺寸是,高44英寸×宽21 5/8英寸，高111.8厘米×宽54.9厘米（画面）；高74 1/4英寸×宽28 1/2英寸，高188.6厘米×宽72.4厘米（整体）
50,材质是,纸本水墨设色
50,现藏博物馆是,亚洲艺术博物馆
50,类型是,绘画
51,创造年代是,唐朝
51,尺寸是,高2又1/8英寸 × 直径10又7/8英寸，高5.4厘米 × 直径27.7厘米
51,材质是,上釉陶器
51,现藏博物馆是,亚洲艺术博物馆
51,来源地是,中国河南省
51,类型是,陶瓷
52,创造年代是,唐朝
52,尺寸是,高7 3/4英寸 x 直径4 1/4英寸，高19.7厘米 x 直径10.8厘米
52,材质是,上釉陶器
52,现藏博物馆是,亚洲艺术博物馆
52,来源地是,中国
52,类型是,陶瓷
53,创作者是,周绿云
53,尺寸是,"图片尺寸：高19 1/8英寸 × 宽24英寸（48.6厘米 × 61厘米）
整体尺寸：高24 1/8英寸 × 宽27 1/2英寸（61.3厘米 × 69.9厘米）"
53,材质是,纸上墨水和丙烯
53,现藏博物馆是,亚洲艺术博物馆
53,类型是,绘画
54,创作者是,张尚璞
54,尺寸是,高52 1/2英寸×宽20 1/4英寸，高133.3厘米×宽51.4厘米（画面）；高62 3/4英寸×宽24 1/2英寸，高159.4厘米×宽62.2厘米（整体）
54,材质是,纸本水墨设色
54,现藏博物馆是,亚洲艺术博物馆
54,类型是,绘画
56,创造年代是,唐朝
56,尺寸是,高1又1/2英寸×直径4英寸，高3.8厘米×直径10.2厘米
56,材质是,上釉陶器
56,现藏博物馆是,亚洲艺术博物馆
56,来源地是,中国
56,类型是,陶瓷
55,创造年代是,清朝
55,尺寸是,高7 5/8英寸×宽9 1/2英寸×深6 3/4英寸，高19.5厘米×宽24.1厘米×深17.1厘米
55,材质是,釉上彩瓷
55,现藏博物馆是,亚洲艺术博物馆
55,来源地是,中国江西省景德镇
55,类型是,陶瓷
57,创作者是,叶淑英
57,尺寸是,高2又7/8英寸×宽2英寸，高7.3厘米×宽5.1厘米
57,材质是,水晶与墨彩
57,现藏博物馆是,亚洲艺术博物馆
57,类型是,装饰艺术
58,创作者是,名人
58,尺寸是,高71英寸×宽31 1/8英寸，高180.3厘米×宽79.1厘米（整体）；高43英寸×宽25 5/8英寸，高109.2厘米×宽65.1厘米（画面）
58,材质是,纸本水墨设色
58,现藏博物馆是,亚洲艺术博物馆
58,类型是,绘画
59,创作者是,来安
59,创造年代是,元朝
59,尺寸是,高38 7/8英寸×宽21 1/4英寸，高98.7厘米×宽54厘米（画面）；高77 1/2英寸×宽27 5/8英寸，高196.9厘米×宽70.2厘米（整体）
59,材质是,纸上墨迹
59,现藏博物馆是,亚洲艺术博物馆
59,类型是,绘画
62,创作者是,杨燕屏
62,尺寸是,高66英寸 x 宽24英寸，高167.6厘米 x 宽61.0厘米（整体尺寸）
62,材质是,纸上墨彩
62,现藏博物馆是,亚洲艺术博物馆
62,类型是,绘画
65,创作者是,张尚璞
65,尺寸是,高23 1/2英寸×宽47 3/4英寸，高59.7厘米×宽121.3厘米（画面）；高28 11/16英寸×宽55 5/8英寸，高72.9厘米×宽141.3厘米（整体）
65,材质是,纸上墨迹
65,现藏博物馆是,亚洲艺术博物馆
65,类型是,绘画
64,创作者是,杨燕屏
64,尺寸是,高27英寸×宽53 1/2英寸，高68.6厘米×宽135.9厘米（画面）；高33 1/2英寸×宽66 3/8英寸，高85.1厘米×宽168.6厘米（整体）
64,材质是,纸本水墨设色
64,现藏博物馆是,亚洲艺术博物馆
64,类型是,绘画
66,创造年代是,明朝
66,尺寸是,高1 3/4英寸×直径9英寸，高4.5厘米×直径22.9厘米
66,材质是,釉下彩瓷器
66,现藏博物馆是,亚洲艺术博物馆
66,来源地是,中国江西省景德镇
66,类型是,陶瓷
61,创造年代是,明朝
61,尺寸是,高4 3/4英寸 x 宽3 7/8英寸 x 深2 3/8英寸，高12.1厘米 x 宽9.8厘米 x 深6.0厘米
61,材质是,釉下彩瓷配木盖
61,现藏博物馆是,亚洲艺术博物馆
61,来源地是,中国江西省景德镇
61,类型是,陶瓷
60,创作者是,来安
60,创造年代是,元朝
60,尺寸是,高39英寸×宽21 1/4英寸，高99.1厘米×宽54厘米（画面）；高77 3/8英寸×宽27 5/8英寸，高196.5厘米×宽70.2厘米（整体）
60,材质是,纸上墨迹
60,现藏博物馆是,亚洲艺术博物馆
60,类型是,绘画
67,创作者是,張大千
67,尺寸是,高50 3/8英寸 × 宽25 1/2英寸，高128厘米 × 宽64.8厘米（画心），高85 3/8英寸 × 宽33 1/4英寸，高216.9厘米 × 宽84.5厘米（整体）
67,材质是,纸上墨迹
67,现藏博物馆是,亚洲艺术博物馆
67,类型是,绘画
68,创作者是,張大千
68,尺寸是,高95 1/4英寸×宽38 3/8英寸，高241.9厘米×宽97.5厘米（整体）；高56 1/8英寸×宽28 1/2英寸，高142.6厘米×宽72.4厘米（画面）
68,材质是,纸上墨迹
68,现藏博物馆是,亚洲艺术博物馆
68,类型是,绘画
63,尺寸是,整体尺寸：高7英寸 × 宽4又7/8英寸 × 深6又3/8英寸（17.8厘米 × 12.4厘米 × 16.2厘米）
63,材质是,木胎漆器配青铜嵌银配件
63,现藏博物馆是,亚洲艺术博物馆
63,来源地是,中国
63,类型是,装饰艺术
69,创作者是,張大千
69,尺寸是,装裱后尺寸：高59 5/8英寸 × 宽83 7/16英寸 × 厚1 1/4英寸（150.2厘米 × 211.9厘米 × 3.2厘米）画面尺寸：高58 5/8英寸 × 宽82 7/16英寸（147.6厘米 × 209.4厘米）
69,材质是,纸上墨迹
69,现藏博物馆是,亚洲艺术博物馆
69,类型是,绘画
70,创作者是,張大千
70,尺寸是,"图片尺寸：高17 1/2英寸 × 宽23 1/4英寸（44.5厘米 × 59.1厘米）
整体尺寸：高18英寸 × 宽23 5/8英寸（45.7厘米 × 60厘米）
装裱尺寸：高28英寸 × 宽32英寸（71.1厘米 × 81.3厘米）"
70,材质是,金纸上的墨彩
70,现藏博物馆是,亚洲艺术博物馆
70,类型是,绘画
75,创作者是,胡宇基
75,尺寸是,高49 1/2英寸 × 宽26 3/4英寸，高125.7厘米 × 宽68.0厘米
75,材质是,纸本水墨设色
75,现藏博物馆是,亚洲艺术博物馆
75,类型是,绘画
72,创作者是,黄杰
72,尺寸是,高69 1/2英寸×宽11 5/8英寸，高176.5厘米×宽29.5厘米（整体）；高51 1/2英寸×宽8 1/2英寸，高130.8厘米×宽21.6厘米（图像）
72,材质是,金丝绢上的墨迹
72,现藏博物馆是,亚洲艺术博物馆
72,类型是,绘画
71,创作者是,張大千
71,尺寸是,图片尺寸：高17 1/2英寸 × 宽20 5/8英寸（44.5厘米 × 52.4厘米） 装裱后尺寸：高21 7/8英寸 × 宽28英寸（55.6厘米 × 71.1厘米）
71,材质是,纸本水墨设色
71,现藏博物馆是,亚洲艺术博物馆
71,类型是,绘画
73,创作者是,陈漫
73,尺寸是,高52英寸×宽51 1/4英寸，高132.1厘米×宽130.2厘米
73,材质是,亚克力表面贴膜印刷
73,现藏博物馆是,亚洲艺术博物馆
73,类型是,摄影
74,创作者是,谭虎
74,创造年代是,清朝
74,尺寸是,高30.48厘米 × 宽61.28厘米（原尺寸：高12英寸 × 宽24又1/8英寸）
74,材质是,金笺纸本设色
74,现藏博物馆是,亚洲艺术博物馆
74,类型是,绘画
76,创作者是,胡宇基
76,尺寸是,高83 3/4英寸×宽28 3/8英寸，高213厘米×宽72厘米（整体尺寸）
76,材质是,纸本水墨设色
76,现藏博物馆是,亚洲艺术博物馆
76,类型是,绘画
78,创造年代是,明朝
78,尺寸是,高10 3/8英寸×直径7 1/4英寸，高26.4厘米×直径18.4厘米
78,材质是,釉下彩瓷器
78,现藏博物馆是,亚洲艺术博物馆
78,来源地是,中国福建省
78,类型是,陶瓷
77,创造年代是,明朝
77,尺寸是,高5 1/2英寸×直径12 1/4英寸，高14厘米×直径31.1厘米
77,材质是,釉下钴蓝装饰瓷器
77,现藏博物馆是,亚洲艺术博物馆
77,来源地是,中国江西省景德镇
77,类型是,陶瓷
83,创作者是,胡宇基
83,尺寸是,高20.5英寸×宽47英寸，高52厘米×宽119厘米
83,材质是,纸本水墨设色
83,现藏博物馆是,亚洲艺术博物馆
83,类型是,绘画
82,创作者是,胡宇基
82,尺寸是,高83 1/2英寸×宽33 1/4英寸，高212.1厘米×宽84.5厘米（整体尺寸）
82,材质是,纸本水墨设色
82,现藏博物馆是,亚洲艺术博物馆
82,类型是,绘画
79,创作者是,方召麐
79,尺寸是,高38英寸×宽22 3/4英寸，高96.5厘米×宽57.8厘米（画面）；高84 3/4英寸×宽30 1/2英寸，高215.3厘米×宽77.5厘米（整体）
79,材质是,纸本水墨设色
79,现藏博物馆是,亚洲艺术博物馆
79,类型是,绘画
80,创作者是,方召麐
80,尺寸是,高37 1/2英寸×宽21英寸，高95.2厘米×宽53.3厘米（图像部分）；高102英寸×宽32 1/2英寸，高259.1厘米×宽82.5厘米（整体尺寸）
80,材质是,纸本水墨设色
80,现藏博物馆是,亚洲艺术博物馆
80,类型是,绘画
84,尺寸是,高2又1/4英寸×宽3又5/8英寸×深3又5/8英寸，高5.7厘米×宽9.2厘米×深9.2厘米
84,材质是,软玉
84,现藏博物馆是,亚洲艺术博物馆
84,来源地是,中国江苏省或浙江省
84,类型是,玉与石
81,创作者是,方召麐
81,尺寸是,高54 1/4英寸×宽27英寸，高137.8厘米×宽68.6厘米（画面）；高91英寸×宽37英寸，高231.1厘米×宽94厘米（整体）
81,材质是,纸上墨迹
81,现藏博物馆是,亚洲艺术博物馆
81,类型是,绘画
86,创造年代是,商朝
86,尺寸是,长2又1/8英寸×直径1又1/8英寸，长5.4厘米×直径2.9厘米
86,材质是,软玉
86,现藏博物馆是,亚洲艺术博物馆
86,来源地是,中国
86,类型是,玉与石
85,尺寸是,高15 3/4英寸×宽9 1/2英寸×深5 1/4英寸，高40厘米×宽24.1厘米×深13.3厘米
85,材质是,镀金青铜
85,现藏博物馆是,亚洲艺术博物馆
85,来源地是,中国河北省
85,类型是,雕塑
87,创造年代是,商朝
87,尺寸是,高6又5/16英寸×直径3又1/4英寸，高16.04厘米×直径8.3厘米
87,材质是,软玉
87,现藏博物馆是,亚洲艺术博物馆
87,来源地是,中国
87,类型是,玉与石
88,创造年代是,商朝
88,尺寸是,高2又7/8英寸×直径2又3/4英寸，高7.3厘米×直径7厘米；厚3/16英寸，0.5厘米
88,材质是,软玉
88,现藏博物馆是,亚洲艺术博物馆
88,来源地是,中国
88,类型是,玉与石
89,创作者是,赵少昂
89,尺寸是,高11 7/8英寸 × 宽14 3/4英寸，高30.2厘米 × 宽37.5厘米（画面）；高49 3/4英寸 × 宽19英寸，高126.4厘米 × 宽48.2厘米（整体）
89,材质是,纸本水墨设色
89,现藏博物馆是,亚洲艺术博物馆
89,类型是,绘画
90,创作者是,张尚璞
90,尺寸是,"图片尺寸：高13英寸 × 宽25又7/8英寸（33厘米 × 65.7厘米）
整体尺寸：高17又1/2英寸 × 宽36又5/16英寸（44.5厘米 × 92.2厘米）"
90,材质是,纸本水墨设色
90,现藏博物馆是,亚洲艺术博物馆
90,类型是,绘画
91,创作者是,张尚璞
91,尺寸是,图片尺寸：高23 3/4英寸 × 宽23 3/4英寸（60.3厘米 × 60.3厘米）整体尺寸：高27 1/2英寸 × 宽27 1/2英寸（69.9厘米 × 69.9厘米）
91,材质是,纸本水墨设色
91,现藏博物馆是,亚洲艺术博物馆
91,类型是,绘画
92,创作者是,苏风宇
92,尺寸是,高2又1/4英寸×宽1又1/4英寸×深3/4英寸，高5.7厘米×宽3.2厘米×深1.9厘米
92,材质是,瓶身：水晶含墨
92,材质是,瓶塞：翡翠
92,现藏博物馆是,亚洲艺术博物馆
92,类型是,装饰艺术
94,创作者是,黄君璧
94,尺寸是,高47 1/8英寸×宽23 1/4英寸，高119.7厘米×宽59.1厘米（画面）；高96 3/4英寸×宽31 1/2英寸，高245.7厘米×宽80厘米（整体）
94,材质是,纸本水墨设色
94,现藏博物馆是,亚洲艺术博物馆
94,来源地是,台湾
94,类型是,绘画
93,创造年代是,明朝
93,尺寸是,高14 1/2英寸×直径7英寸×宽8 1/8英寸，高36.8厘米×宽17.8厘米×深20.6厘米
93,材质是,釉下钴彩瓷器
93,现藏博物馆是,亚洲艺术博物馆
93,来源地是,中国江西省景德镇
93,类型是,陶瓷
95,创作者是,张尚璞
95,尺寸是,图片：高47又9/16英寸×宽23又13/16英寸（120.8厘米×60.5厘米）整体：高57又5/16英寸×宽28又3/4英寸（145.6厘米×73厘米）
95,材质是,纸本水墨设色
95,现藏博物馆是,亚洲艺术博物馆
95,类型是,绘画
96,创作者是,张尚璞
96,尺寸是,高22 1/2英寸×宽47 1/2英寸，高57.1厘米×宽120.6厘米（画面）；高27英寸×宽57 3/4英寸，高68.6厘米×宽146.7厘米（整体）
96,材质是,纸本水墨设色
96,现藏博物馆是,亚洲艺术博物馆
96,类型是,绘画
97,尺寸是,高6英寸 x 宽2又3/4英寸 x 直径3又3/8英寸，高15.2厘米 x 宽7厘米 x 直径8.6厘米
97,材质是,软玉
97,现藏博物馆是,亚洲艺术博物馆
97,来源地是,中国辽宁省
97,类型是,玉与石
98,创作者是,陈忠三
98,尺寸是,高2又3/4英寸×宽1又3/4英寸×深1英寸，高7.0厘米×宽4.4厘米×深2.5厘米
98,材质是,玻璃与墨彩
98,现藏博物馆是,亚洲艺术博物馆
98,类型是,装饰艺术
100,创造年代是,元朝
100,尺寸是,整体尺寸：高1又1/4英寸 × 宽3又3/4英寸 × 深3又3/4英寸（3.2厘米 × 9.5厘米 × 9.5厘米）
100,材质是,雕红漆
100,现藏博物馆是,亚洲艺术博物馆
100,来源地是,中国
100,类型是,装饰艺术
99,创作者是,張大千
99,尺寸是,高21英寸 x 宽29英寸，高53.3厘米 x 宽73.7厘米
99,材质是,纸本水墨设色
99,现藏博物馆是,亚洲艺术博物馆
99,类型是,版画与素描
102,创作者是,方召麐
102,尺寸是,高23 1/2英寸 × 宽17 1/4英寸，高59.7厘米 × 宽43.8厘米（画面）；高68英寸 × 宽27 1/2英寸，高172.7厘米 × 宽69.8厘米（整体）
102,材质是,桑皮纸上的墨与彩
102,现藏博物馆是,亚洲艺术博物馆
102,类型是,绘画
101,创作者是,徐熙
101,尺寸是,图片尺寸：53 1/8 × 26 1/2 英寸（134.9 厘米 × 67.3 厘米） 96 1/4 × 31 1/8 英寸（244.5 厘米 × 79.1 厘米）
101,材质是,纸本水墨设色
101,现藏博物馆是,亚洲艺术博物馆
101,类型是,绘画
103,创造年代是,明朝
103,尺寸是,整体尺寸：高2又7/8英寸 × 宽14又11/16英寸（7.3厘米 × 37.3厘米）
103,材质是,青花瓷
103,现藏博物馆是,亚洲艺术博物馆
103,来源地是,中国江西省景德镇
103,类型是,陶瓷
104,尺寸是,直径12 5/8英寸×厚5/8英寸，直径32.1厘米×厚1.59厘米
104,材质是,软玉
104,现藏博物馆是,亚洲艺术博物馆
104,来源地是,中国江苏省或浙江省
104,类型是,玉与石
107,创作者是,赵少昂
107,尺寸是,高12英寸×宽15英寸，高30.5厘米×宽38.1厘米（图像部分）；高49又3/4英寸×宽19英寸，高126.3厘米×宽48.2厘米（整体尺寸）
107,材质是,纸本水墨设色
107,现藏博物馆是,亚洲艺术博物馆
107,类型是,绘画
105,创造年代是,商朝
