Title,Artist,Place of Origin,Date,Material,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL,Unnamed: 16,Medium,Museum
"Wine cup with ring handle, birds, animals, and grape vines",,"Probably Xi’an, Shaanxi province, China",late 7th century,Cast and hammered silver with chased and ring-punched decoration and mercury gilding,H x W: 6.4 x 7.8 cm (2 1/2 x 3 1/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 16: Center of the World: China and the Silk Road,,Cup. Silver. Surface: lustrous gray patina; traces of earthy adhesions. Decoration: engraved; gold leaf applied to areas in the design.,new_images\FS-F1930.51_001.jpg,https://ids.si.edu/ids/deliveryService?id=FS-F1930.51_001,,,Smithsonian Institution
Foliated mirror with birds and floral scrolls,,China,late 7th-early 8th century,"Cast bronze and applied gold plaque with repoussé, chased, and ring-punched decoration",Diam x D: 22.1 x 1.7 cm (8 11/16 x 11/16 in),Purchase — Charles Lang Freer Endowment,,,Mirror,,Freer Gallery 16: Center of the World: China and the Silk Road,,,new_images\FS-8085_11.jpg,https://ids.si.edu/ids/deliveryService?id=FS-8085_11,,,Smithsonian Institution
Lidded box in the form of a melon with grapevines and knob in the form of a frog,,"probably Xi’an, Shaanxi province, China",late 7th-early 8th century,Cast and hammered silver with chased and ring-punched decoration and leaf gilding,H x W: 6.4 x 5 cm (2 1/2 x 1 15/16 in),Purchase — Charles Lang Freer Endowment,,,Container,,Freer Gallery 16: Center of the World: China and the Silk Road,,,new_images\FS-8085_08.jpg,https://ids.si.edu/ids/deliveryService?id=FS-8085_08,,,Smithsonian Institution
"Lobed bowl with lotus petals, birds, animals, and floral scrolls",,"Probably Xi’an, Shaanxi province, China",late 7th-early 8th century,"Hammered silver with repoussé, chased, and ring-punched decoration and mercury gilding",H x Diam: 5.6 x 14.6 cm (2 3/16 x 5 3/4 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 16: Center of the World: China and the Silk Road,,Bowl (silver). Surface: oxidized; a patch of green aerugo. Decoration: a band of foliate design in low relief. Surfaces covered by a delicate ornament executed in fire-gilt; a medallion in fire-gilt ornament under the foot.,new_images\FS-8085_15.jpg,https://ids.si.edu/ids/deliveryService?id=FS-8085_15,,,Smithsonian Institution
Lidded container with birds and floral scrolls,,"Probably Xi’an, Shaanxi province, China",early 8th century,"Cast, hammered, and turned silver with chased and ring-punched decoration and mercury gilding",H x W: 12.3 x 7.1 cm (4 13/16 x 2 13/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 16:Center of the World:China and the Silk Road,,"Surface: gilded; areas of black oxidation; inside surface darkened.                    

                      Decoration: in delicate line engraving, covering all outer surfaces.",new_images\FS-8085_17.jpg,https://ids.si.edu/ids/deliveryService?id=FS-8085_17,,,Smithsonian Institution
Lobed mirror with a dragon and clouds,,China,first half of the 8th century,Cast bronze,Diam x D: 21.5 x 1.2 cm (8 7/16 x 1/2 in),Purchase — Charles Lang Freer Endowment,,,Mirror,,Freer Gallery 16: Center of the World: China and the Silk Road,,,new_images\FS-8085_24.jpg,https://ids.si.edu/ids/deliveryService?id=FS-8085_24,,,Smithsonian Institution
"Square mirror with floral medallion, plant sprays, birds, and insects",,China,8th century,"Cast bronze, gold and silver sheets with chased decoration, and lacquer",H x W x D: 15.9 x 15.9 x 1.1 cm (6 1/4 x 6 1/4 x 7/16 in),Purchase — Charles Lang Freer Endowment,,,Mirror,,Freer Gallery 16: Center of the World: China and the Silk Road,,,new_images\FS-8085_27.jpg,https://ids.si.edu/ids/deliveryService?id=FS-8085_27,,,Smithsonian Institution
Lobed ladle with floral scrolls,,"Probably Xi’an, Shaanxi province, China",late 7th-early 8th century,"Hammered silver with repoussé, chased, and ring-punched decoration",H x W x D: 31 x 6.1 x 4.5 cm (12 3/16 x 2 3/8 x 1 3/4 in),Purchase — Charles Lang Freer Endowment,,,Tool and Equipment,,Freer Gallery 16: Center of the World: China and the Silk Road,,"Ladle, with a seven-lobed bowl. Silver. Surface: intact with one small dent in forward lobe of bowl.",new_images\FS-6223_12.jpg,https://ids.si.edu/ids/deliveryService?id=FS-6223_12,,,Smithsonian Institution
Wine cup with elephant heads on ring handle,,"Central Asia, probably Uzbekistan",early 7th century,"Hammered silver with repoussé, chased, and ring-punched decoration and mercury gilding",H x W x D: 6.3 x 8.7 x 7.1 cm (2 1/2 x 3 7/16 x 2 13/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 16: Center of the World: China and the Silk Road,,,new_images\FS-F2012.1_001.jpg,https://ids.si.edu/ids/deliveryService?id=FS-F2012.1_001,,,Smithsonian Institution
Covered box in the form of a six petalled flower with birds and floral scrolls,,"Probably Xi’an, Shaanxi province, China",early 8th century,"Hammered silver with repoussé, chased, and ring-punched decoration and mercury gilding",H x W: 3 x 10.7 cm (1 3/16 x 4 3/16 in),Gift of the Honorable and Mrs. Hugh Scott,,,Container,,Freer Gallery 16: Center of the World: China and the Silk Road,,,new_images\FS-8086_22.jpg,https://ids.si.edu/ids/deliveryService?id=FS-8086_22,,,Smithsonian Institution
Peonies,Follower of Yun Shouping (1633-1690),China,17th-18th century,Ink and color on silk,H x W (image): 160.4 x 76.3 cm (63 1/8 x 30 1/16 in),Gift of Charles Lang Freer,,,Painting,,,,"Hanging scroll depicting a group of flowering plants, with seven peony blossoms (one red, three pink, two white and one purple) and irises among ornamental garden rocks. Four seals, two inscriptions, no labels.",new_images\FS-7983_15.jpg,https://ids.si.edu/ids/deliveryService?id=FS-7983_15,,,Smithsonian Institution
Planter with impressed character yi (one),,"Juntai, Henan province, China","Probably early 15th century, possibly second half of the 14th century",Stoneware with Jun glaze,H x Diam: 25.6 × 27.2 cm (10 1/16 × 10 11/16 in),Gift of Charles Lang Freer,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,"Planter: large with globular bowl, high neck, flaring mouth and bold spreading foot. Five perforations in base. Numeral i (one) incised. Wooden stand.                    

                      Clay: fine, hard, grayish.                    

                      Glaze: blue and lavender with white overflow; olive on rim and foot. Crackled. ""Earth worm markings.""",new_images\FS-F1907.38a-b_001.jpg,https://ids.si.edu/ids/deliveryService?id=FS-F1907.38a-b_001,,,Smithsonian Institution
Flower pot stand with impressed character liu (six),,"Juntai, Henan province, China","probably early 15th century, possibly second half of the 14th century",Stoneware with Jun glaze and copper pigment,H x Diam: 6.9 × 22.3 cm (2 11/16 × 8 3/4 in),Gift of Charles Lang Freer,,,Furniture and Furnishing,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,"Molded in 6 lobes with fluted rim; 3 cloud-scroll feet. Wooden stand.                    

                      Clay: hard, gray.                    

                      Glaze: inside, olive and purple clouded with greenish-white; ""earth-worm markings."" Outside: mingled olive, crimson and blue.                    

                      Contains marks and inscription on base.",new_images\FS-6448_03.jpg,https://ids.si.edu/ids/deliveryService?id=FS-6448_03,,,Smithsonian Institution
Vase shaped like an archaic gu,,China,1662-1722,Cloisonné,H: 30.8 cm (12 1/8 in),Gift of Charles Lang Freer,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,"Vessel in the shape of a Shang dynasty ceremonial ""ku;"" copper decorated with cloisonne enamels in light blue, dark blue, green, red, yellow, and white; inside the foot is an inscription of eight characters in relief giving a K'ang-hsi date. A separate flower holder fits inside the mouth.",new_images\FS-F1911.145a-c_001.jpg,https://ids.si.edu/ids/deliveryService?id=FS-F1911.145a-c_001,,,Smithsonian Institution
Three Horsemen Riding under Willows,Formerly attributed to Zhao Mengfu 趙孟頫 (1254-1322),China,15th century,Ink and color on silk,H x W (image): 186.2 x 95.1 cm (73 5/16 x 37 7/16 in),Gift of Charles Lang Freer,,,Painting,,,,,new_images\FS-8087_01.jpg,https://ids.si.edu/ids/deliveryService?id=FS-8087_01,,,Smithsonian Institution
Tiger with cubs and magpies,,"Possibly Zhejiang province, China",15th century,Ink and color on silk,H x W (image): 165 × 95.2 cm (65 × 37 1/2 in),Gift of Charles Lang Freer,,,Painting,,,,,new_images\FS-7328_11.jpg,https://ids.si.edu/ids/deliveryService?id=FS-7328_11,,,Smithsonian Institution
Palace Women and Children Celebrating the New Year,Formerly attributed to Yan Liben (ca. 600-674),China,15th century,Ink and color on silk,H x W (image): 160.3 x 106.2 cm (63 1/8 x 41 13/16 in),Gift of Charles Lang Freer,,,Painting,,,,,new_images\FS-F1916.403_001.jpg,https://ids.si.edu/ids/deliveryService?id=FS-F1916.403_001,,,Smithsonian Institution
Visiting the Sage at Wei River,Formerly attributed to Xia Gui 夏珪 (active ca. 1195-1230),China,mid-15th century,Hanging scroll mounted on panel; ink and color on silk,H x W (image): 170.8 x 151.5 cm (67 1/4 x 59 5/8 in),Gift of Charles Lang Freer,,,Painting,,,,,"""D:\code\Software_Engineering\Smithsonian\Smithsonian\.venv\main\new_images\FS-7308_04.jpg",https://ids.si.edu/ids/deliveryService?id=FS-7308_04,,,Smithsonian Institution
Guan ware Vase with tubular handles,,"Hangzhou, Zhejiang province, China",1127-1279,Stoneware with Guan glaze,H x W: 10.7 x 7.7 cm (4 3/16 x 3 1/16 in),Gift of Charles Lang Freer,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,"Flower-jar: small; eight-sided, of pear-shaped outline. Two tubular handles (filled with glaze).                    

                      Clay: hard, fine.                    

                      Glaze: light gray-green; brown wash on foot. Coarse brown crackle.",new_images\FS-F1911.347_001.jpg,https://ids.si.edu/ids/deliveryService?id=FS-F1911.347_001,,,Smithsonian Institution
Zhong Kui and Demons Crossing a Bridge,Attributed to Dai Jin (1388-1462),China,16th century,Ink and color on silk,H x W (image): 197.4 x 118.6 cm (77 11/16 x 46 11/16 in),Gift of Charles Lang Freer,,,Painting,,,,,new_images\FS-6389_09.jpg,https://ids.si.edu/ids/deliveryService?id=FS-6389_09,,,Smithsonian Institution
Carrying a Zither while Searching for Plum Blossoms,Formerly attributed to Ma Yuan 馬遠 (active late 12th-early 13th century),China,early to mid-15th century,Hanging scroll mounted on panel; ink and color on silk,H x W (image): 149 x 97.3 cm (58 11/16 x 38 5/16 in),Gift of Charles Lang Freer,,,Painting,,,,,new_images\FS-7491_09.jpg,https://ids.si.edu/ids/deliveryService?id=FS-7491_09,,,Smithsonian Institution
Dish with hollyhocks and gardenias,,"Jingdezhen, Jiangxi province, China",1723-1735,Porcelain with lead-silicate enamels over colorless clear glaze,H x Diam (overall): 4.4 x 17.2 cm (1 3/4 x 6 3/4 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,"Yongzhen (Yung Cheng) period, Polychrome --Guyuexuan (Ku Yueh Hsuan) type.                    

                      Shallow bowl with carved ivory stand. Polychrome.                    

                      White porcelain, decorated, in overglaze enamel colors, with flowers, calligraphy, and seals.",new_images\FS-F1928.3a-e_001.jpg,https://ids.si.edu/ids/deliveryService?id=FS-F1928.3a-e_001,,,Smithsonian Institution
Guan ware bowl,,"Jiaotanxia kiln, Hangzhou, Zhejiang province, China",12th-13th century,Stoneware with Guan glaze,H x W: 4.3 x 13.6 cm (1 11/16 x 5 3/8 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,"Bowl: spreading ovoidal; small unglazed foot-rim.                    

                      Clay: dense, hard, gray.                    

                      Glaze: opaque delicate grayish-blue with medium-mesh crackle. Lustrous bluish gray-green with egg-shell texture; brown crackle; foot-rim brown.",new_images\FS-F1932.58_001.jpg,https://ids.si.edu/ids/deliveryService?id=FS-F1932.58_001,,,Smithsonian Institution
Dish with flowering trees,,"Jingdezhen, Jiangxi province, China",1723-1735,Porcelain with enamels over colorless clear glaze,H x W: 4.4 x 17.2 cm (1 3/4 x 6 3/4 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,"Polychrome--Ku Yueh Hsuan type                    

                      Bowl. Shallow with slightly everted lip, low foot rim. Ivory stand.                    

                      Body: fine-grained white porcelain.                    

                      Glaze: perfectly transparent white, fine orange skin texture.                    

                      Decoration: overglaze enamels; floral pattern, calligraphy and 3 seals on pistachio green ground outside.                    

                      Mark: four-characters, of the Yung Cheng (Yongzheng) period in overglaze blue enamel on base.",new_images\FS-F1928.4a-b_001.jpg,https://ids.si.edu/ids/deliveryService?id=FS-F1928.4a-b_001,,,Smithsonian Institution
Tea bowl with design of autumn grasses,Kashu Mimpei (1796-1871),"Awaji island, Hyogo prefecture, Japan",,,H x Diam: 7.6 x 12.4 cm (3 x 4 7/8 in),Gift of Charles Lang Freer,,,Vessel,,,,,images\image1.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6565_01,,Stoneware with enamels over clear colorless glaze,Smithsonian Institution
"Ritual wine container (you) with dragons, birds, and bovine heads",,"Anyang, probably Henan province, China",,,H x W x D: 50.8 × 32.1 × 35.9 cm (20 × 12 5/8 × 14 1/8 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,images\image2.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1930.26a-b_001,,Bronze,Smithsonian Institution
"Disk (bi) with raised hexagons arranged in a grid, dragon, and feline",,China,,,H x W x D: 22 x 15.2 x 0.7 cm (8 11/16 x 6 x 1/4 in),Gift of Charles Lang Freer,,,Ceremonial Object,,Freer Gallery 19: Afterlife: Ancient Chinese Jades,,,images\image3.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1916.155_001,,Jade (nephrite),Smithsonian Institution
"One of a pair of tigers, possibly the base supports for a bell stand",,"Baoji, Shaanxi province, China",,,H x W x D: 25.3 x 15.9 x 75.2 cm (9 15/16 x 6 1/4 x 29 5/8 in),Purchase — Charles Lang Freer Endowment,,,Unclassified,,,,,images\image4.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1935.21_001,,Bronze,Smithsonian Institution
Head of a Bodhisattva,,Afghanistan,,,H x W x D: 53 x 36.8 x 33.6 cm (20 7/8 x 14 1/2 x 13 1/4 in),Gift of Arthur M. Sackler,,,Sculpture,,,,,images\image5.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5844_10,,Stucco with traces of pigment,Smithsonian Institution
Ritual wine warmer (jia) with taotie and dragons,,China,,,H x W x D (overall): 24 x 15.8 x 15.6 cm (9 7/16 x 6 1/4 x 6 1/8 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Vessel,,,,,images\image6.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8160_26,,Bronze,Smithsonian Institution
Covered box,,"possibly Tiankeng kiln group, Zhangzhou, Fujian province, China",,,H x Diam (assembled): 4.4 x 4.4 cm (1 3/4 x 1 3/4 in),Gift of Ambassador and Mrs. Jack W. Lydman,,,Container,,,,,images\image7.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7510_28,,Porcelain with enamel glazes over biscuit,Smithsonian Institution
Prayer wheel,,"Lhasa, Tibet",,,H x Diam: 45.7 x 14 cm (18 x 5 1/2 in),The Alice S. Kandell Collection,,,Ceremonial Object,,Sackler Gallery 26a: The Tibetan Buddhist Shrine Room,,,images\image8.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7616_05,,Silver with traces of gilding and wooden handle,Smithsonian Institution
Tara (one of the Famed Twenty-one Tara Emanations),,Central Tibet,,,H x W: 48.3 x 31.8 cm (19 x 12 1/2 in),The Alice S. Kandell Collection,,,Sculpture,,Sackler Gallery 26a: The Tibetan Buddhist Shrine Room,,,images\image9.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7602_11,,"Gilt copper alloy, turquoise, enamel, and coral",Smithsonian Institution
Lidded food cauldron (ding) with painted decoration,,China,206 BCE-220 CE,,H x W: 13.5 x 16.9 cm (5 5/16 x 6 5/8 in),Gift of Eugene and Agnes E. Meyer,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image1.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7597_09,,Bronze,Smithsonian Institution
Lidded square ritual wine vessel (fanghu) with painted decoration,,China,206 BCE-220 CE,,H x W: 17.8 x 10.9 cm (7 x 4 5/16 in),Gift of Eugene and Agnes E. Meyer,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image2.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7597_10,,Bronze,Smithsonian Institution
Stemmed wine cup with floral scrolls,,China,8th century,,H x Diam: 4.3 x 6.6 cm (1 11/16 x 2 5/8 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image3.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6221_01,,Cast silver with chased and ring-punched decoration,Smithsonian Institution
Serving vessel with lid (dun) and dragons and ducks,,"Shanxi Province, China",5th century BCE,,H x W: 15.3 x 16.4 cm (6 x 6 7/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image4.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7373_14,,Bronze,Smithsonian Institution
Ritual wine vessel (gu),,China,ca. 12th century BCE,,H x Diam: 26.4 × 15.1 cm (10 3/8 × 5 15/16 in),Gift of Charles Lang Freer,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image5.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7592_13,,Bronze,Smithsonian Institution
Lidded ritual food server (dou) with dragon interlace,,China,ca. late 5th-early 4th century BCE,,H x W x D: 15.2 x 18.8 x 14.1 cm (6 x 7 3/8 x 5 9/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image6.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1939.41a-b_001,,Bronze with gold inlay,Smithsonian Institution
"Octagonal mirror with animals, flowerets, and floral scrolls",,China,late 7th–first half of the 8th century,,Diam x D: 5.6 x 0.8 cm (2 3/16 x 5/16 in),Purchase — Charles Lang Freer Endowment,,,Mirror,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image7.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8085_22,,"Cast bronze and applied gold plaque with repoussé, chased, and ring-punched decoration",Smithsonian Institution
Jingdezhen ware dish,,"Imperial kiln, Jingdezhen, Jiangxi province, China",1723-1735,,H x W x D: 8.5 x 47 x 47 cm (3 3/8 x 18 1/2 x 18 1/2 in),Anonymous gift,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image8.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1978.46_001,,Porcelain with celadon glaze and cobalt pigment under clear glaze,Smithsonian Institution
Foliated mirror with birds and floral scrolls,,China,late 7th-early 8th century,,Diam x D: 22.1 x 1.7 cm (8 11/16 x 11/16 in),Purchase — Charles Lang Freer Endowment,,,Mirror,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image9.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8085_11,,"Cast bronze and applied gold plaque with repoussé, chased, and ring-punched decoration",Smithsonian Institution
Tripod vessel with cover,,China,1736-1796,,H x W: 25 x 28.3 cm (9 13/16 x 11 1/8 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image10.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1944.18a-c_001,,"Jade (nephrite), wooden stand",Smithsonian Institution
Ritual vessel (kuei),,China,9th century BCE,,H x W x D: 24.9 x 37.2 x 26.3 cm (9 13/16 x 14 5/8 x 10 3/8 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image11.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1960.19a-b_001,,Bronze,Smithsonian Institution
Ritual wine vessel (hu),,China,late 11th-early 10th century BCE,,H x Diam: 24.3 × 15.3 cm (9 9/16 × 6 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image12.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1959.14a-b_001,,Bronze,Smithsonian Institution
Landscape in the style of Wang Meng 《仿王蒙山水圖》,Shen Zhou 沈周 (1427-1509),China,1491,,H x W (image): 121.2 x 60.2 cm (47 11/16 x 23 11/16 in),Purchase — Charles Lang Freer Endowment,,,Painting,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image13.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8088_15,,Ink and color on paper,Smithsonian Institution
Basin (jian) with narrative scenes,,China,ca. 5th century BCE,,H x W: 28 x 61.4 cm (11 x 24 3/16 in),Gift of Charles Lang Freer,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image14.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6333_07,,Bronze,Smithsonian Institution
Hinged cosmetic box in the form of a clam’s shell with birds and floral scrolls,,"Probably Xi’an, Shaanxi province, China",late 7th-early 8th century,,H x W x D: 4.6 x 9.3 x 8.2 cm (1 13/16 x 3 11/16 x 3 1/4 in),Purchase — Charles Lang Freer Endowment,,,Container,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image15.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8085_13,,Silver,Smithsonian Institution
"Lobed bowl with lotus petals, birds, animals, and floral scrolls",,"Probably Xi’an, Shaanxi province, China",late 7th-early 8th century,,H x Diam: 5.6 x 14.6 cm (2 3/16 x 5 3/4 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image16.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8085_15,,"Hammered silver with repoussé, chased, and ring-punched decoration and mercury gilding",Smithsonian Institution
Small cup with cover,,China,9th century,,H x Diam (assembled): 4.1 x 6.9 cm (1 5/8 x 2 11/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image17.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6222_05,,Silver,Smithsonian Institution
