Title,Artist,Place of Origin,Date,Medium,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL
Large rounded stone,,"North Gate of Changsha Tomb, China",,Stone,H x W (overall): 12.5 x 10.3 cm (4 15/16 x 4 1/16 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Natural Material,,,,,All_images1.0\image3531.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-S-84_1-000001
Decorated loop from lid of a ting,,"North Gate of Changsha Tomb, China",,,H x W (overall): 2.7 x 3.2 cm (1 1/16 x 1 1/4 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Unclassified,,,,,All_images1.0\image3532.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-587_1
Mirror,,China,,Bronze,Diam x D: 16.4 x 1.2 cm (6 7/16 x 1/2 in),Gift of Charles Lang Freer,,,Mirror,,,,,All_images1.0\image3533.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5992_09
11 fragments of Shan type mirror,,"North Gate of Changsha Tomb, China",,,Diam (overall): 121.5 cm (47 13/16 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Mirror,,,,,All_images1.0\image3534.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8514_19
"Pendant in the form of a bovine head, reworked",,China,ca. 1100-1000 BCE,Jade (steatite),H x W x D: 2.4 x 1.9 x 0.6 cm (15/16 x 3/4 x 1/4 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images1.0\image3535.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-S1987.715_001
Bodhisattva,,China,8th-9th century,Gilt bronze,H x W x D (overall): 7 x 3.8 x 2.2 cm (2 3/4 x 1 1/2 x 7/8 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Sculpture,,,,,All_images1.0\image3536.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-rls_0863
Fragment of base of bowl,,"Jingdezhen, Jiangxi province, China",17th century,Porcelain with cobalt pigment under transparent glaze,,"Gift of John B. Trevor, Jr.",,,Vessel,,,,,All_images1.0\image3537.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-568_1
Base fragment of bowl or dish includes part of foot only,,"Jingdezhen, Jiangxi province, China",17th century,Porcelain with cobalt pigment under transparent glaze,,"Gift of John B. Trevor, Jr.",,,Vessel,,,,,All_images1.0\image3538.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-587_1
Sculpture in the style of Tang-dynasty tomb figure,,China,early 20th century,Earthenware with paint,H x W x D: 15.1 x 152 x 17.1 cm (5 15/16 x 59 13/16 x 6 3/4 in),Purchase — Charles Lang Freer Endowment,,,Sculpture,,,,,All_images1.0\image3539.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8225_01
Mirror,,"Changsha, Hunan province, China",25-220,,Diam (overall): 11.1 cm (4 3/8 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Mirror,,,,,All_images1.0\image3540.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8514_17
Fragment,,China,,Pottery,H x W (overall): 11 x 6.7 cm (4 5/16 x 2 5/8 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Unclassified,,,,,All_images1.0\image3541.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-4231_1
Fragment of base of bowl,,"Jingdezhen, Jiangxi province, China",17th century,Porcelain with cobalt pigment under transparent glaze,,"Gift of John B. Trevor, Jr.",,,Vessel,,,,,All_images1.0\image3542.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-581_1
"Fragments of Mirror. ""Huai style""",,"Changsha, Hunan privince, China",475-221 BCE,,Diam (overall): 14.1 cm (5 9/16 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Mirror,,,,,All_images1.0\image3543.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8513_27
Fragment of base and wall of dish,,"Jiaotanxia kiln site, Hangzhou, Zhejiang province, China",1127-1279,Stoneware with Guan glaze,,Gift of C. T. Loo,,,Vessel,,,,,All_images1.0\image3544.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-275v2
Wintry Forest on a Low Plain,Formerly attributed to Li Cheng 李成 (919-967),China,16th century?,Hanging scroll; ink and color on silk,H x W (image): 128.3 x 72.6 cm (50 1/2 x 28 9/16 in),Gift of Eugene and Agnes E. Meyer,,,Painting,,,,,All_images1.0\image3545.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5667_01
Epitaph of Yuan Xianjun in standard script 魏元顯儁墓誌,,China,inscription: 513; rubbing 20th century,Ink on paper,H x W (overall): 105.4 x 68.2 cm (41 1/2 x 26 7/8 in),Gift of Peking University,,,Rubbing,,,,,All_images1.0\image3546.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7502_33
Jar,,Southern China,16th-17th century,Stoneware with iron brown glaze,H x Diam (overall): 6.7 x 6.8 cm (2 5/8 x 2 11/16 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Vessel,,,,,All_images1.0\image3547.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-4144
Pair of tubular fittings,,China,late 3rd century BCE-early 3rd century CE,Gilded bronze,H x Diam (1): 2 x 1.2 cm (13/16 x 1/2 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Furniture and Furnishing,,,,,All_images1.0\image3548.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-rls_4481.1.2
Traveling Dining Service (Knife and Chopsticks),,China,,"Bamboo, ivory, metal, and gold",H x W x D: 27.1 x 1.6 x 2 cm (10 11/16 x 5/8 x 13/16 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.553",,,Tool and Equipment,,,,,All_images1.0\image3549.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-LTS1985.1.553.1a-e_001
"Rubbings of an excerpt from the ""Sutra of Immeasurable Meanings"" (Wuliangyi jing), carved 6th century, Xiangtangshan northern group of caves, South Cave, interior west wall",,"Xiangtangshan, Hebei province, China",,Ink on paper,H x W (.1 - Mat window dims for rubbing without hole): 123.8 x 109.2 cm (48 3/4 x 43 in),Purchase — Charles Lang Freer Endowment,,,Rubbing,,,,,All_images1.0\image3550.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-R-565.1-2
Fragment with monster mask and pendant ring,,"North Gate of Changsha Tomb, China",,,H x W (overall): 6.2 x 6.7 cm (2 7/16 x 2 5/8 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Mask,,,,,All_images1.0\image3551.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-585
"Ch'in (?) Ball, Gaming piece (?)",,"Changsha Tomb site, China",,Pottery,Diam (overall): 2.7 cm (1 1/16 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Toy and Entertainment,,,,,All_images1.0\image3552.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-4218
Head of a human,,China,ca. 1300-1200 BCE,Fluorite,H x W x D (overall): 7.5 x 5.5 x 5 cm (2 15/16 x 2 3/16 x 1 15/16 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Sculpture,,,,,All_images1.0\image3553.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8128_10
Fragment,,China,,Pottery,H x W (overall): 11 x 8.2 cm (4 5/16 x 3 1/4 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Vessel,,,,,All_images1.0\image3554.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-4226_1
Inkstick,,"Anhui province, China",1846,Soot and glue with gold and green pigment and lacquer,H x W: 7.8 x 1.9 cm (3 1/16 x 3/4 in),Gift of Marguerite Church,,,Tool and Equipment,,,,,All_images1.0\image3555.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7777_27
"Fragments of clay or stucco, one with possible traces of pigment",,"Changsha Tomb site, China",,,,Gift of the John Hadley Cox Archaeological Study Collection,,,Natural Material,,,,,All_images1.0\image3556.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-X-14
"Rounded corner cabinet, one of a pair with F1990.6",,China,,"Hard wood: Chinese rosewood (probably huanghuali), metal hardware",H x W x D: 174 x 99 x 54 cm (68 1/2 x 39 x 21 1/4 in),Gift of Mr. and Mrs. LaRue Lutkins,,,Furniture and Furnishing,,,,,All_images1.0\image3557.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8536_33
Fragment with partial monster mask,,"Tomb, Changsha, Hunan province, China",,,H x W (overall): 7.1 x 8.6 cm (2 13/16 x 3 3/8 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Mask,,,,,All_images1.0\image3558.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-546
Pendant in the form of a fish,,"Anyang, probably Henan province, China",ca. 1300-ca. 1050 BCE,Jade (nephrite),H x W x D: 1.9 × 8.2 × 0.4 cm (3/4 × 3 1/4 × 3/16 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images1.0\image3559.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-S1987.713_001
Flowers,Wu Dongmai (1885-1963),China,ca. 1961,Ink and color on paper,H x W (image): 18.4 x 49.2 cm (7 1/4 x 19 3/8 in),Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image3560.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7424_43
Disk (bi),,China,ca. 1300-1050 BCE,Jade,H x Diam (overall): 0.8 x 13.2 cm (5/16 x 5 3/16 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Ceremonial Object,,,,,All_images1.0\image3561.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7859_41
Weighing dishes and set of 6 graduated ring weights,,"North Gate of Changsha Tomb, China",,,Diam (dishes): 7.6 cm (3 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Measuring Device,,,,,All_images1.0\image3562.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-602a-h
Tomb figure of water buffalo and rider,,"Henan, Hebei, or Shaanxi province, China",700-750,Earthenware with lead glazes,H x W: 15.8 x 10.2 cm (6 1/4 x 4 in),Purchase — Charles Lang Freer Endowment,,,Sculpture,,,,,All_images1.0\image3563.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8225_02
Tomb figure of a seated man holding a chicken,,China,early 20th century,Earthenware with cold pigments,H x W x D: 26 x 171 x 16.8 cm (10 1/4 x 67 5/16 x 6 5/8 in),Purchase — Charles Lang Freer Endowment,,,Sculpture,,,,,All_images1.0\image3564.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7867_11
Fragment of neck of bottle,,China,1279-1368,Porcelain with transparent pale blue (qingbai) glaze,,Gift of Stanley J. O’Connor,,,Vessel,,,,,All_images1.0\image3565.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2697
Blade (ge),,China,550 BCE-450 BCE,Bronze,H x W x D: 13.9 x 5.5 x 1.5 cm (5 1/2 x 2 3/16 x 9/16 in),Gift of an anonymous donor,,,Weapon and Armament,,,,,All_images1.0\image3566.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-604_1-000001
Fragment of base of bowl,,"Jingdezhen, Jiangxi province, China",17th century,Porcelain with cobalt pigment under transparent glaze,,"Gift of John B. Trevor, Jr.",,,Vessel,,,,,All_images1.0\image3567.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-582_1
Sherd,,"Jiangxi or Fujian province, China",15th-17th century,Porcelain with cobalt pigment under clear glaze,H x W x D: 0.8 x 2.6 x 2 cm (5/16 x 1 x 13/16 in),Gift of Victor and Takako Hauge,,,Unclassified,,,,,All_images1.0\image3568.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-5623r
Fragment of base of bowl,,"Jingdezhen, Jiangxi province, China",17th century,Porcelain with cobalt pigment under transparent glaze,,"Gift of John B. Trevor, Jr.",,,Vessel,,,,,All_images1.0\image3569.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-603_1
Finial with two dragons,,China,206 BCE-9 CE,Glass and bronze with gilding,H x W x D: 5.3 x 3.5 x 2.9 cm (2 1/16 x 1 3/8 x 1 1/8 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.264.19",,,Jewelry and Ornament,,,,,All_images1.0\image3570.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-LTS1985.1.264.19_001
Pendant in the form of a cicada,,China,,Jade,H x W x D: 5.3 x 2.9 x 0.5 cm (2 1/16 x 1 1/8 x 3/16 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Jewelry and Ornament,,,,,All_images1.0\image3571.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7645_58
Head of a human,,China,ca. 1300-1200 BCE,Prehnite,H x W x D: 5 x 4.4 x 1.7 cm (1 15/16 x 1 3/4 x 11/16 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Sculpture,,,,,All_images1.0\image3572.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8124_19
Couplet in seal script,He Shaoji (1799-1873),China,mid- to late 19th century,Ink on paper,H x W: 24.9 x 14.3 cm (9 13/16 x 5 5/8 in),Purchase — Charles Lang Freer Endowment,,,Calligraphy,,,,,All_images1.0\image3573.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8491_03
"Bowl, fragment of rim",,"Jingdezhen, Jiangxi province, China",14th century,Porcelain with cobalt pigment under clear glaze,,Gift of The Toledo Museum of Art,,,Vessel,,,,,All_images1.0\image3574.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-1025.192_1
Pendant in the form of a bird,,China,,Jade,H x W x D (overall): 3.3 x 1.5 x 6.2 cm (1 5/16 x 9/16 x 2 7/16 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Jewelry and Ornament,,,,,All_images1.0\image3575.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-rls_2473
Vase decorated in the mille fleurs design,,"Jingdezhen, Jiangxi province, China",19th-early 20th century,"Porcelain with enamels over clear, colorless glaze",H x W: 12.8 x 6.7 cm (5 1/16 x 2 5/8 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images1.0\image3576.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8006_03
Mirror,,China,220-589,"Bronze, gold, silver, lacquer",Diam x D: 27.2 x 1.7 cm (10 11/16 x 11/16 in),Purchase — Charles Lang Freer Endowment,,,Mirror,,,,,All_images1.0\image3577.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5300_03
Fragment of wall of bowl,,"Jingdezhen, Jiangxi province, China",17th century,Porcelain with cobalt pigment under transparent glaze,,"Gift of John B. Trevor, Jr.",,,Vessel,,,,,All_images1.0\image3578.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-563_1
Mirror,,China,,Bronze,Diam x D: 11.2 x 1.3 cm (4 7/16 x 1/2 in),Gift of Charles Lang Freer,,,Mirror,,,,,All_images1.0\image3579.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5992_06
Fragment of tea bowl,,China,12th-13th century,,H x Diam (overall): 6 x 10.2 cm (2 3/8 x 4 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Vessel,,,,,All_images1.0\image3580.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-4200_1
Coin,,"Guangdong province, China",,Silver,H x Diam: 0.1 × 2.3 cm (1/16 × 7/8 in),Gift of Charles Lang Freer,,,Exchange Media,,,,,All_images1.0\image3581.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8321_03
Fragment of base of bowl,,"Jingdezhen, Jiangxi province, China",17th century,Porcelain with cobalt pigment under transparent glaze,,"Gift of John B. Trevor, Jr.",,,Vessel,,,,,All_images1.0\image3582.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-608_1
Sword,,China,4th-3rd century BCE,Bronze with gold inlay and textile fragments,H x W x D (overall): 45.2 x 5.7 x 4 cm (17 13/16 x 2 1/4 x 1 9/16 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Weapon and Armament,,,,,All_images1.0\image3583.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8137_16
Brush pot,,China,18th-19th century,Bamboo,H x W: 14.4 x 15 cm (5 11/16 x 5 7/8 in),Anonymous gift,,,Container,,,,,All_images1.0\image3584.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8166_17
Fragment,,China,,Pottery,H x Diam (overall): 1.6 x 7.1 cm (5/8 x 2 13/16 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Vessel,,,,,All_images1.0\image3585.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-4225_1
Vessel (pou),,China,5th century BCE,Bronze with copper and malachite inlay,H x Diam (overall): 20.5 x 21.5 cm (8 1/16 x 8 7/16 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Vessel,,,,,All_images1.0\image3586.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8126_12
Pendant in the form of a bird,,China,,Jade,H x W x D (overall): 5.8 x 1.7 x 0.4 cm (2 5/16 x 11/16 x 3/16 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Jewelry and Ornament,,,,,All_images1.0\image3587.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7645_32
"Plaque from a book, The Canon of Yao",,China,18th-early 19th century,"Jade, gold pigment",H x W x D: 0.3 x 9 x 9 cm (1/8 x 3 9/16 x 3 9/16 in),"Transfer from the National Museum of Natural History, Department of Minerology, Smithsonian Institution",,,Book,,,,,All_images1.0\image3588.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6894_08
Fragment of base of bowl,,"Jingdezhen, Jiangxi province, China",17th century,Porcelain with cobalt pigment under transparent glaze,,"Gift of John B. Trevor, Jr.",,,Vessel,,,,,All_images1.0\image3589.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-584_1
"Plaque from a book, The Canon of Yao",,China,18th-early 19th century,"Jade, gold pigment",H x W x D: 0.3 x 9 x 9 cm (1/8 x 3 9/16 x 3 9/16 in),"Transfer from the National Museum of Natural History, Department of Minerology, Smithsonian Institution",,,Book,,,,,All_images1.0\image3590.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6893_04
Top of broken ceremonial vessel of type ku,,China,ca. 1050-221 BCE,Bronze,,Gift of S. Kriger,,,Vessel,,,,,All_images1.0\image3591.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-4_1-000001
Two carved wooden fragments,,China,10th-11th century,Wood with white and black pigment,H x W x D: 28.9 x 12.4 x 1.3 cm (11 3/8 x 4 7/8 x 1/2 in),Gift of Robert H. Ellsworth FSC-W-34ab,,,Unclassified,,,,,All_images1.0\image3592.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-W-34a-b_1
Spear head,,"Yunnan province, China",200 BCE -100 BCE,Bronze,H x W x D: 28 x 4.7 x 2.8 cm (11 x 1 7/8 x 1 1/8 in),Gift of an anonymous donor,,,Weapon and Armament,,,,,All_images1.0\image3593.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-605_1-000001
Fragment of base and wall of dish,,"Jiaotanxia kiln site, Hangzhou, Zhejiang province, China",1127-1279,Stoneware with Guan glaze,,Gift of C. T. Loo,,,Vessel,,,,,All_images1.0\image3594.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-274v2
