Title,Artist,Place of Origin,Date,Medium,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL
"Rim fragment, number on piece ""west"" C4i(i)",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2777.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-718_1
Calligraphy,Hong Liangji (1746-1809),China,1798,Ink on paper,,Gift of Nanping Wang,,,Calligraphy,,,,,All_images\image2778.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8501_22
"Fragment of a wine cup, one deep curved sherd from rim and smaller one missing from the whole cup",,China,,,,Gift of John de Bry,,,Vessel,,,,,All_images\image2779.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2739_1
"Rim fragment, number on piece ""west"" D4c #23",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2780.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-777_1
Head of a Bodhisattva,,"Probably Longmen Grottos, Henan province, China",7th-8th century,Stone,H x W x D (overall): 10.5 x 5.8 x 3.3 cm (4 1/8 x 2 5/16 x 1 5/16 in),Acquired under the guidance of the Carl Whiting Bishop expedition,,,Sculpture,,,,,All_images\image2781.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6201_16
"Rim fragment, number on piece ""west"" D4c #18",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2782.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-665_1
"Rim fragment, number on piece ""west"" D4b #34",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2783.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-778_1
"Grating bowl, base and portion of wall and rim (fragment)",,"Liulichang kiln site, Chengdu, Sichuan province, China",960-1279,Stoneware with white slip on rim under phosphatic glaze,,Gift of Dr. David C. Graham,,,Vessel,,,,,All_images\image2784.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-f-scp-145v1
Garment hook,,China,300 BCE,"Cast bronze, inlay",H x W x D: 21.6 x 3 x 4.4 cm (8 1/2 x 1 3/16 x 1 3/4 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2785.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6657_10
"Rim fragment, number on piece ""west"" D4c #25",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2786.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-725_1
Fishing Boat and Rock-Clinging Trees,Huang Binhong (1865-1955),China,1938-1942,Ink on paper,H x W (image): 72.4 x 26.7 cm (28 1/2 x 10 1/2 in),Gift of Arthur M. Sackler,,,Painting,,,,,All_images\image2787.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6898_08
Inkstick,,China,19th century,Soot and glue with gold pigment,H x W: 8.4 x 2 cm (3 5/16 x 13/16 in),Gift of Marguerite Church,,,Tool and Equipment,,,,,All_images\image2788.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7777_21
Deamon Head (T'ao T'ien),,China,1200-771 BCE,Ivory,H x W x D: 2.4 x 2.2 x 0.8 cm (15/16 x 7/8 x 5/16 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.280",,,Unclassified,,,,,All_images\image2789.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-LTS1985.1.280.1_001
Garment hook (daigou),,China,17th-18th century,Jade,H x W x D: 12.2 x 1.8 x 2.2 cm (4 13/16 x 11/16 x 7/8 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2790.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6025_02
Horn (jiao),,China,4th-5th century,Jade,H x W x D: 3 x 14 x 2.6 cm (1 3/16 x 5 1/2 x 1 in),Gift of Arthur M. Sackler,,,Musical Instrument,,,,,All_images\image2791.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6835_06
"Rim fragment of bowl, number on piece 98/17",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2792.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-646_1
Lacquered hand warmer,,China,late 18th-19th century,"Polychrome lacquer on metal (?) core with gilding, metal pins and wire",H x W x D: 13.8 x 17.9 x 13.5 cm (5 7/16 x 7 1/16 x 5 5/16 in),Gift of Arthur M. Sackler,,,Tool and Equipment,,,,,All_images\image2793.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7416_45
"Base of bowl, fragment",,China,19th century,Porcelain with cobalt pigment under clear grayish glaze,,Gift of John A. Pope,,,Vessel,,,,,All_images\image2794.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-950_1
"Rim fragment, number on piece ""west"" D4d #82",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2795.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-668_1
Rim fragment with hole drilled through center of sherd,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2796.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-825_1
Inkstick (used),,"Anhui province, China",19th century,Soot and glue with gold pigment,H x W: 7.6 x 2 cm (3 x 13/16 in),Gift of Marguerite Church,,,Tool and Equipment,,,,,All_images\image2797.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7776_09_01
Calligraphy couplet in seal script,Deng Sanmu (1898-1963),China,1946,Pair of hanging scrolls; ink on paper,"H x W (.1, overall): 177.9 x 40.9 cm (70 1/16 x 16 1/8 in)",Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images\image2798.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7450_39
Copy of Ji Sangongshan Stele in clerical script,Chu Deyi 褚德彝 (1871-1942),China,1927,Ink on paper,H x W (image): 124.5 x 25.1 cm (49 x 9 7/8 in),Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images\image2799.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7492_33
Poem by Du Fu in running-cursive script,Shen Zengzhi 沈曾植 (1850-1922),China,early 20th century,Ink on paper,H x W (image): 145.7 x 39.4 cm (57 3/8 x 15 1/2 in),Gift of Ms. Lucy L. Lo,,,Calligraphy,,,,,All_images\image2800.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7450_13
"Water vessel (kendi) with elongated neck, compressed body, and short mammiform spout",,China,,,,Gift of Mrs. Karol Kirberger Rodriguez,,,Vessel,,,,,All_images\image2801.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-3855_1-000001
"Rim fragment, number on piece ""west"" D4b #35",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2802.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-721_1
Fragment of low cover (broken in two and repaired),,"Probably Shanglinhu kiln site, Zhejiang province, China",10th century,Stoneware with celadon glaze,,Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images\image2803.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-231v2
"Pendant ornaments, pair",,China,206 BCE-220 CE,,H x W x D (.1): 12.7 x 7.3 x 2.1 cm (5 x 2 7/8 x 13/16 in),Gift of Elizabeth Meyer Lorentz,,,Jewelry and Ornament,,,,,All_images\image2804.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5636_05
Visiting the Realm of the Immortals,Deng Shiru 鄧石如 (1743-1805),China,Second half 18th century,Hanging scroll; ink on paper,H x W (image): 149.9 x 45.3 cm (59 x 17 13/16 in),Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images\image2805.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7490_39
Ring with dragon and flaming pearl,,China,618-907,Jade,H x W: 0.4 x 9.4 cm (3/16 x 3 11/16 in),Gift of Arthur M. Sackler,,,Ceremonial Object,,,,,All_images\image2806.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5448_06
"Rubbing of design executed in line engraving on stone depicting seated figure with halo and the symbol of the north (tortoise with serpent coiled around the cerapace), warrior figures, one man in civil robe, clouds and landscape elements",,China,,Ink on paper,,,,,Rubbing,,,,,All_images\image2807.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8499_08
"Foot fragment, number on piece ""west"" D4f(E)",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2808.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-732_1
Octagonal bowl in sagger (fragment),,"Xikou kiln site, Longquan, Zhejiang province, China",13th century,Stoneware with celadon glaze,,Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images\image2809.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-204v1
"Rim fragment, number on piece ""west"" D4a (Rim 47)",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2810.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-782_1
"Rim fragment, number on piece ""west"" C4d #61",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2811.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-671_1
Dish,,"Zhejiang province, China",10th-11th century,Stoneware with celadon glaze,,Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images\image2812.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-248v1
Ornament: grotesque animal mask,,China,ca. 1050-771 BCE,Bronze,H x W x D (overall): 3.6 x 4.7 x 1.4 cm (1 7/16 x 1 7/8 x 9/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images\image2813.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6923_05
Fragment of bowl,,"Jingdezhen, Jiangxi province, China",17th century,,,"Gift of John B. Trevor, Jr.",,,Vessel,,,,,All_images\image2814.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-535_1
Fragment of a dish,,"Zhejiang province, China",10th-11th century,Stoneware with celadon glaze,,Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images\image2815.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-249v1
"Rim fragment, number on piece ""west"" C4c(ii) #57",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2816.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-697_1
"Rim fragment, number on piece ""west"" C4d (Rim 91)",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2817.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-733_1
Ornament with dragons,,China,2nd century BCE-2nd century CE,Jade,H x W x D: 7.7 x 3.2 x 3.5 cm (3 1/16 x 1 1/4 x 1 3/8 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2818.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7384_20
"Foot of vessel, number on piece ""west"" B4k",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2819.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-682_1
Couch-bed,,China,16th century with some late 16th-early 17th century additions,Huanghuali wood (Chinese rosewood),H x W x D (overall): 78.1 x 203.8 x 94.6 cm (30 3/4 x 80 1/4 x 37 1/4 in),"Gift of Yuho Tseng-Ecke in memory of Gustav E.W. Ecke, 1896-1971",,,Furniture and Furnishing,,,,,All_images\image2820.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6587_07
"Rim fragment, number on piece ""west"" D4c #4",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2821.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-775_1
"Bowl fragment, number on piece 94/1",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2822.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-888_1-000001
Epitaph of Palace Lady Zhang Anji in standard script 魏宮第一品張安姫墓誌,,China,inscription: 521; rubbing: 20th century,Ink on paper,H x W: 67.5 x 67.3 cm (26 9/16 x 26 1/2 in),Gift of Peking University,,,Rubbing,,,,,All_images\image2823.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7502_39
Garment hook,,China,2nd century BCE-2nd century CE,Bronze,H x W x D: 11.8 x 3.7 x 2 cm (4 5/8 x 1 7/16 x 13/16 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2824.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7384_15
"Excerpt from the ""Preface to the Sacred Teachings"" in seal script",Wu Xizai 吳熙載 (1799-1870),China,ca. 1865,Set of four hanging scrolls; ink on paper,"H x W (image, each): 146.5 x 38 cm (57 11/16 x 14 15/16 in)",Purchase — Charles Lang Freer Endowment,,,Calligraphy,,,,,All_images\image2825.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7320_43_1
Fragment of dish,,"Jingdezhen, Jiangxi province, China",,Porcelain with cobalt pigment under transparent glaze,,"Gift of John B. Trevor, Jr.",,,Vessel,,,,,All_images\image2826.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-539_1
Calligraphy in Various Styles,Fu Tienian (1886-1947),China,1927,Set of four scrolls; ink on paper,"H x W (overall, each): 211.6 x 51 cm (83 5/16 x 20 1/16 in)",Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images\image2827.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7450_34
"Rim fragment, number on piece ""west"" D4a (Rim) #38",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2828.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-747_2
"Bowl, number on piece 14.9, 1.2 cm. hole in center bottom",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2829.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-896_1-000001
"Rim fragment, number on piece ""west"" D4c #26",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2830.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-768_1
"Rim fragment, number on piece ""west"" C4e(i) #53",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2831.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-746_1
"Rim fragment, number on piece ""west"" B4j (Rim 100 #73",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2832.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-741_1
Blue-and-white vessel,,China,1644-1911,Porcelain with cobalt pigment under clear glaze,,Gift of Helen D. Ling,,,Vessel,,,,,All_images\image2833.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-994_001
"Rim fragment, number on piece ""west"" C4d (Rim 90) #64",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2834.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-743_1
The Bodhisattva Puxian (Samantabhadra),Formerly attributed to Lu Lengjia (active 730-760),China,17th century,Ink and color on silk,H x W: 72.6 x 51.4 cm (28 9/16 x 20 1/4 in),Gift of Eugene and Agnes E. Meyer,,,Painting,,,,,All_images\image2835.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5676_13
Figure of a dancing woman,,China,20th century,Burnished blackened earthenware,H: 10.7 cm (4 3/16 in),Purchase — Charles Lang Freer Endowment,,,Sculpture,,,,,All_images\image2836.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7867_14
Five-Lobed Carved Lacquer Tray,,China,possibly 15th-16th century,Carved marbled black and red lacquer (tixi) on wood core,H x W x D: 3.7 x 30 x 30.2 cm (1 7/16 x 11 13/16 x 11 7/8 in),Gift of Arthur M. Sackler,,,Vessel,,,,,All_images\image2837.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6422_04
"Rim fragment, number on piece ""west"" B4j #78",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2838.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-784_1
"Pine, from an album of flower and rock arrangements in pots",Sun Kehong (1532-1610),China,probably 1590s,Ink and color on paper,H x W: 53.2 x 45.7 cm (20 15/16 x 18 in),"Gift of Karen Y. Wang in memory of her father, Nan-Ping Wong",,,Painting,,,,,All_images\image2839.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7368_43
Vessel (ding),,China,ca. 1000-900 BCE,Bronze Cast,H x W x D: 20 x 18.6 x 18.6 cm (7 7/8 x 7 5/16 x 7 5/16 in),Gift of Arthur M. Sackler,,,Vessel,,,,,All_images\image2840.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7384_32
"Rim fragment, number on piece ""west"" C4e(o) #56",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2841.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-667_1
"Bodhisattva Avalokiteshvara (Guanyin), Head",,China,,Stone,H x W x D (overall): 17.7 x 8.2 x 11.7 cm (6 15/16 x 3 1/4 x 4 5/8 in),Acquired under the guidance of the Carl Whiting Bishop expedition,,,Sculpture,,,,,All_images\image2842.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8522_21
Dragon,,China,,Bronze with silver and gold inlay,H x W x D: 13.5 × 19.5 × 20 cm (5 5/16 × 7 11/16 × 7 7/8 in),Anonymous gift,,,Sculpture,,,,,All_images\image2843.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8458_12
Travelers in Mountain Landscape,Formerly attributed to Xia Gui 夏珪 (active ca. 1195-1230),China,16th century,Hanging scroll mounted on panel; ink and color on silk,H x W (overall): 199 x 66.2 cm (78 3/8 x 26 1/16 in),Gift of Elizabeth Meyer Lorentz,,,Painting,,,,,All_images\image2844.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5627_11
Dagger knife of type ko,,China,,Bronze,,Given by R. J. Gettens,,,Weapon and Armament,,,,,All_images\image2845.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-8a-b_1-000001
"Rim fragment, number on piece ""west"" B4f #79",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2846.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-781_1
Bowl,,China,,,,Gift of Cecilia and Leandro Locsin,,,Vessel,,,,,All_images\image2847.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-3575_001
"Rim fragment, number on piece: 98/10 A",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2848.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-638_1
"Rim fragment, number on piece ""west"" C4d #68",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2849.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-674_1
Mirror,,China,,Bronze,Diam x D: 13.1 x 1.1 cm (5 3/16 x 7/16 in),Purchase — Charles Lang Freer Endowment,,,Mirror,,,,,All_images\image2850.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-42_1-000001
Ornament in the form of a foreigner,,China,960-1279,Jade,H x W x D: 5.4 x 2.8 x 1.2 cm (2 1/8 x 1 1/8 x 1/2 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2851.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7402_29
Dog,,China,5th-6th century,Jade,H x W x D: 2.7 x 4.4 x 3.9 cm (1 1/16 x 1 3/4 x 1 9/16 in),Gift of Arthur M. Sackler,,,Sculpture,,,,,All_images\image2852.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6024_11
Garment hook,,China,400-200 BCE,Bronze,H x W x D: 3 x 0.9 x 1.8 cm (1 3/16 x 3/8 x 11/16 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2853.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6191_12
"Large urn with everted rim, number on piece 99/2",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2854.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-657_1-000001
"Rim fragment, number on piece ""west"" D4c #21",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2855.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-752_2
"Rim fragment, number on piece ""west"" C4l(i) (Rim 81) #54",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2856.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-711_1
Pin,,China,618-906,"Gold and glass; cast, hammered, and soldered",H x Diam: 24.7 x 3.5 cm (9 3/4 x 1 3/8 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.575.1",,,Jewelry and Ornament,,,,,All_images\image2857.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8083_24
