Title,Artist,Place of Origin,Date,Medium,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL
Hinged cosmetic box in the form of a clam’s shell with birds and floral scrolls,,"Probably Xi’an, Shaanxi province, China",late 7th-early 8th century,Silver,H x W x D: 4.6 x 9.3 x 8.2 cm (1 13/16 x 3 11/16 x 3 1/4 in),Purchase — Charles Lang Freer Endowment,,,Container,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image15.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8085_13
"Lobed bowl with lotus petals, birds, animals, and floral scrolls",,"Probably Xi’an, Shaanxi province, China",late 7th-early 8th century,"Hammered silver with repoussé, chased, and ring-punched decoration and mercury gilding",H x Diam: 5.6 x 14.6 cm (2 3/16 x 5 3/4 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image16.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8085_15
Small cup with cover,,China,9th century,Silver,H x Diam (assembled): 4.1 x 6.9 cm (1 5/8 x 2 11/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image17.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6222_05
Lidded container with birds and floral scrolls,,"Probably Xi’an, Shaanxi province, China",early 8th century,"Cast, hammered, and turned silver with chased and ring-punched decoration and mercury gilding",H x W: 12.3 x 7.1 cm (4 13/16 x 2 13/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image18.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8085_17
Guan ware Vase with tubular handles,,"Hangzhou, Zhejiang province, China",1127-1279,Stoneware with Guan glaze,H x W: 10.7 x 7.7 cm (4 3/16 x 3 1/16 in),Gift of Charles Lang Freer,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image19.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1911.347_001
"Wine cup with ring handle, birds, animals, and grape vines",,"Probably Xi’an, Shaanxi province, China",late 7th century,Cast and hammered silver with chased and ring-punched decoration and mercury gilding,H x W: 6.4 x 7.8 cm (2 1/2 x 3 1/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image20.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1930.51_001
Dish with design of pair of dragons,,"Jingdezhen, Jiangxi province, China",late 15th century,Porcelain with enamel glazes over clear glaze,H x Diam: 3.8 × 14.8 cm (1 1/2 × 5 13/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image21.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1953.4a-b_001
Dish with design of dragons and clouds,,"Jingdezhen, Jiangxi province, China",1426-1435,"Porcelain with cobalt under clear glaze, enamel over glaze",H x Diam: 3.7 × 19 cm (1 7/16 × 7 1/2 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image22.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1965.4_002
"Vase with ""peach bloom"" copper-red glaze",,"Jingdezhen, Jiangxi province, China",1662-1722,"Porcelain with copper-red ""peach bloom"" glaze; ivory stand",H x Diam: 19.9 × 8.1 cm (7 13/16 × 3 3/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image23.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1942.20a-c_001
Stem cup,,"Jingdezhen, Jiangxi province, China",1465-1487,"Porcelain with cobalt under the glaze and enamels over the glaze in the ""doucai"" (joined colors) technique",H x Diam: 8 × 6.3 cm (3 1/8 × 2 1/2 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image24.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1951.16a-c_001
Beaker-shaped vase,,"Jingdezhen, Jiangxi province, China",1662-1722,Porcelain with clair de lune glaze,H x Diam: 18.7 × 11.3 cm (7 3/8 × 4 7/16 in),Bequest of Libbie Moody Thompson,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image25.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1991.13_001
"Stem bowl permanently set into a stand, with both parts freely revolving",,"Jingdezhen, Jiangxi province, China",1736-1795,"Porcelain with celadon and clear glazes, overglaze enamels",H x W: 13.1 x 16.4 cm (5 3/16 x 6 7/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image26.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1944.13_001
Bowl,,"Jingdezhen, Jiangxi province, China",1426-1435,Porcelain with cobalt decoration under colorless glaze,H x Diam: 6 × 15.2 cm (2 3/8 × 6 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image27.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6399_02
Lidded ritual wine container (zun) in the form of a bird,,"Shanxi province, China",ca. 5th century BCE,Bronze with gold inlay,H x W x D: 26.5 x 13.5 x 20 cm (10 7/16 x 5 5/16 x 7 7/8 in),Gift of Eugene and Agnes E. Meyer,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image28.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6252_12
"Square mirror with floral medallion, plant sprays, birds, and insects",,China,8th century,"Cast bronze, gold and silver sheets with chased decoration, and lacquer",H x W x D: 15.9 x 15.9 x 1.1 cm (6 1/4 x 6 1/4 x 7/16 in),Purchase — Charles Lang Freer Endowment,,,Mirror,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image29.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8085_27
Base for an offering mandala used in Tibetan Buddhist rituals,,China,early 15th century,"Enamels on brass, wire, traces of gilding (cloisonné)",H x W x D: 7.7 x 31 x 31 cm (3 1/16 x 12 3/16 x 12 3/16 in),Purchase — Charles Lang Freer Endowment,,,Furniture and Furnishing,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image30.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6390_08
"Dish with copper-red glaze, and a Xuande mark in cobalt oxide on the base",,"Jingdezhen, Jiangxi province, China",1426-1435,Porcelain with copper-red glaze,H x Diam: 4.6 × 22 cm (1 13/16 × 8 11/16 in),Purchase — Charles Lang Freer Endowment and Friends of the National Museum of Asian Art,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image31.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F2015.2a-b_003-000001
Lidded box in the form of a melon with grapevines and knob in the form of a frog,,"probably Xi’an, Shaanxi province, China",late 7th-early 8th century,Cast and hammered silver with chased and ring-punched decoration and leaf gilding,H x W: 6.4 x 5 cm (2 1/2 x 1 15/16 in),Purchase — Charles Lang Freer Endowment,,,Container,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image32.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8085_08
Stem bowl with attached stand,,"Jingdezhen, Jiangxi province, China",1736-1795,"Porcelain with celadon glaze and enamel over clear, colorless glaze",H x W: 13.5 x 16.3 cm (5 5/16 x 6 7/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image33.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1944.14_001
Vase,,"Jingdezhen, Jiangxi province, China",1736-1795,Porcelain with lead-silicate enamels over transparent pale-brown glaze,H x W: 20.3 x 9.6 cm (8 x 3 3/4 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image34.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1945.2_001
Tankard,,"Jingdezhen, Jiangxi province, China",early 15th century,Porcelain with cobalt under colorless glaze,H x W: 14 x 12.8 cm (5 1/2 x 5 1/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image35.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1951.15a-b_004
Dish with foliate flaring rim,,"Jingdezhen, Jiangxi province, China",1426-1435,Porcelain with cobalt pigment under colorless glaze,H x Diam: 4.8 × 21.3 cm (1 7/8 × 8 3/8 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image36.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1951.13a-b_001
Landscape carved in low relief,,China,1735-1796,Stone (agalmatolite),H x W x D: 9.2 x 12.7 x 7.4 cm (3 5/8 x 5 x 2 15/16 in),Gift of Charles Lang Freer,,,Sculpture,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image37.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7302_35
Landscape 山水圖 (軸),Bada Shanren 八大山人 (朱耷) (1626-1705),China,ca. 1690,Ink and color on paper,H x W (image): 149.1 x 64.1 cm (58 11/16 x 25 1/4 in),"Bequest from the collection of Wang Fangyu and Sum Wai, donated in their memory by Mr. Shao F. Wang",,,Painting,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image38.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7451_52
Bowl with eight trigrams,,"Jingdezhen, Jiangxi province, China",1662-1722,Porcelain with cobalt pigment under clear glaze,H x Diam: 6.9 x 12 cm (2 11/16 x 4 3/4 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image39.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1995.8_001
Lobed ladle with floral scrolls,,"Probably Xi’an, Shaanxi province, China",late 7th-early 8th century,"Hammered silver with repoussé, chased, and ring-punched decoration",H x W x D: 31 x 6.1 x 4.5 cm (12 3/16 x 2 3/8 x 1 3/4 in),Purchase — Charles Lang Freer Endowment,,,Tool and Equipment,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image40.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6223_12
Porcelain bowl with lotus petals on exterior,,"Jingdezhen, Jiangxi province, China","early 15th century, probably Yongle reign",Porcelain with cobalt under colorless glaze,H x Diam: 10 × 21 cm (3 15/16 × 8 1/4 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image41.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1951.14a-d_001
Lidded incense burner (xianglu) with geometric decoration and narrative scenes,,"Henan or Hebei province, China",ca. 2nd century BCE,"Bronze with gold, silver, turquoise, and carnelian inlay",H x W: 17.9 x 10 cm (7 1/16 x 3 15/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image42.jpg,无图片
Square lidded wine container (fanghu) with geometric decoration,,China,ca. 4th century BCE,"Bronze with copper, silver, and malachite inlay",H x W x D: 52.7 x 27.9 x 25.6 cm (20 3/4 x 11 x 10 1/16 in),Gift of Eugene and Agnes E. Meyer,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image43.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6334_05
Dish with hollyhocks and gardenias,,"Jingdezhen, Jiangxi province, China",1723-1735,Porcelain with lead-silicate enamels over colorless clear glaze,H x Diam (overall): 4.4 x 17.2 cm (1 3/4 x 6 3/4 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image44.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1928.3a-e_001
Dish with coxcomb and rock design,,"Jingdezhen, Jiangxi province, China","Yongle reign, 1403-1424",Porcelain with cobalt under transparent colorless glaze,H x W x D: 9.5 x 68 x 68 cm (3 3/4 x 26 3/4 x 26 3/4 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image45.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1961.14_001
Bowl,,"Jingdezhen, Jiangxi province, China",1426-1435,Porcelain with cobalt decoration under colorless glaze,H x Diam: 7 × 19.1 cm (2 3/4 × 7 1/2 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image46.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1953.1a-b_001
Lateral stretcher from the base of a funerary couch with Sogdian musicians and a dancer,,"Probably Ce xian, Henan province, China",550-577,Grey marble with traces of pigment,H x W x D: 19.3 x 96.4 x 15.9 cm (7 5/8 x 37 15/16 x 6 1/4 in),Gift of Charles Lang Freer,,,Sculpture,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image47.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8084_07
Vase shaped like an archaic gu,,China,1662-1722,Cloisonné,H: 30.8 cm (12 1/8 in),Gift of Charles Lang Freer,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image48.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1911.145a-c_001
Dish with flowering trees,,"Jingdezhen, Jiangxi province, China",1723-1735,Porcelain with enamels over colorless clear glaze,H x W: 4.4 x 17.2 cm (1 3/4 x 6 3/4 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image49.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1928.4a-b_001
Guan ware bowl,,"Jiaotanxia kiln, Hangzhou, Zhejiang province, China",12th-13th century,Stoneware with Guan glaze,H x W: 4.3 x 13.6 cm (1 11/16 x 5 3/8 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image50.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1932.58_001
Bowl with design in reserve,,"Jingdezhen, Jiangxi province, China",1426-1435,Porcelain with cobalt under colorless glaze,H x Diam: 8.7 × 18.7 cm (3 7/16 × 7 3/8 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image51.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1951.4a-b_001
Bottle,,"Jingdezhen, Jiangxi province, China",1723-1735,Porcelain with cobalt pigment under colorless glaze and enamels over glaze (doucai format),H x W: 10.5 x 5.8 cm (4 1/8 x 2 5/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image52.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1945.40a-b_001
Wine flask (bianhu) with geometric decoration,,"Henan or Hebei province, China",ca. 3rd century BCE,Bronze with silver inlay,H x W x D (overall): 31.3 x 30.5 x 11.7 cm (12 5/16 x 12 x 4 5/8 in),Gift of Charles Lang Freer,,,Vessel,,Freer Gallery 18: Art and Industry: China's Ancient Houma Foundry,,,All_images1.0\image53.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1915.103a-b_001
Bowl with design of mynahs,,"Jingdezhen, Jiangxi province, China",1723-1735,"Porcelain with enamels over clear, colorless glaze",H x W: 4.6 x 8.1 cm (1 13/16 x 3 3/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image54.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1930.35a-b_001
Bottle,,"Jingdezhen, Jiangxi province, China",1723-1735,Porcelain with cobalt pigment under colorless glaze and enamels over glaze (doucai format),H x W: 10.4 x 5.8 cm (4 1/8 x 2 5/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image55.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1945.39a-c_001
Returning Home on a Moonlit Night,Formerly attributed to Lu Hong (active 713-742),China,early to mid-16th century,Hanging scroll mounted on panel; ink and color on silk,H x W (image): 155.1 x 107.1 cm (61 1/16 x 42 3/16 in),Gift of Charles Lang Freer,,,Painting,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image56.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8087_17
Frontal from the base of a funerary couch with Sogdian musicians and dancers and Buddhist divinities,,"Probably Ce xian, Henan province, China",550-577,Grey marble with traces of pigment,H x W x D: 60.3 x 234 x 23.5 cm (23 3/4 x 92 1/8 x 9 1/4 in),Gift of Charles Lang Freer,,,Sculpture,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image57.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8085_01
Covered jar of gold inlaid with gems,,China,1426-1435,Gold with semiprecious stones,H x W x D: 9.5 x 9.4 x 8.4 cm (3 3/4 x 3 11/16 x 3 5/16 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image58.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6244_07
Tripod bowl with wooden stand,,"Jingdezhen, Jiangxi province, China",1736-1795,"Porcelain clay with ""teadust"" glaze; hardwood stand",H x Diam: 6.7 x 20.6 cm (2 5/8 x 8 1/8 in),Purchase — funds provided by the Friends of the National Museum of Asian Art,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image59.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1994.3a-b_001
Small bowl with overglaze decoration,,"Jingdezhen, Jiangxi province, China",1723-1735,Porcelain with colorless glaze and overglaze enamel decoration and mark,H x Diam: 5.3 x 10.2 cm (2 1/16 x 4 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image60.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1934.2a-g_001
The Wangchuan Villa,Formerly attributed to Zhao Boju (ca. 1120s-ca.1162),China,17th century,Ink and color on silk,H x W (image): 39.1 x 592.5 cm (15 3/8 x 233 1/4 in),Gift of Charles Lang Freer,,,Painting,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image61.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8235_08
Landscapes with Figures,Liu Rushi (1618-1664),China,mid-17th century,Ink and color on paper,H x W (image): 17.7 x 20.6 cm (6 15/16 x 8 1/8 in),Purchase — funds provided by the B.Y. Lam Foundation Fund,,,Painting,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image62.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8118_05
Cup with landscape,,"Jingdezhen, Jiangxi province, China",circa 1732,"Porcelain with colorless glaze and blue, black, and ruby enamels over the glaze",H x Diam: 5.1 × 10.2 cm (2 × 4 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image63.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1932.63a-g_005
"Dwelling in the Fuchun Mountains, after Huang Gongwang",Wang Hui (1632-1717),China,1672,Ink and color on paper,H x W (image): 38.4 x 743 cm (15 1/8 x 292 1/2 in),Purchase — Charles Lang Freer Endowment,,,Painting,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image64.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7069_04
"Incense burner in shape of a tripod (li) with design of lotus and with three kinds of fruit (the ""three plenties"") on the underside of vessel",,China,15th or early 16th century; 14th century jade knob,"Enamels, brass, wire (cloisonné); with later gilt metal handles, wooden cover with Yuan dynasty jade knob",H x Diam (assembled): 18.4 × 19.4 cm (7 1/4 × 7 5/8 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,"Freer Gallery 13: Looking Out, Looking In: Art in Late Imperial China",,,All_images1.0\image65.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-F1961.12a-b_001
Lateral stretcher from the base of a funerary couch with Sogdian musicians and a dancer,,"Probably Ce Xian, Henan province, China",550-577,Grey marble with traces of pigment,H x W x D: 19.7 x 95.3 x 16.5 cm (7 3/4 x 37 1/2 x 6 1/2 in),Gift of Charles Lang Freer,,,Sculpture,,Freer Gallery 16: Center of the World: China and the Silk Road,,,All_images1.0\image66.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6729_06
