Title,Artist,Place of Origin,Date,Medium,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL
Temple lion,,China,618-907,Stone,H x W x D: 49 x 27 x 30.3 cm (19 5/16 x 10 5/8 x 11 15/16 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10011.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7259_26
Glaze test,,China,1644-1911,Stoneware with Jun-style glaze,H x W: 2.7 x 1.5 cm (1 1/16 x 9/16 in),Gift of Charles Lang Freer,,,Unclassified,,,,,All_images1.0\image10012.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7435_19
Mirror,,China,1st-2nd century,Bronze,Diam x D: 16.7 x 1.1 cm (6 9/16 x 7/16 in),Gift of Charles Lang Freer,,,Mirror,,,,,All_images1.0\image10013.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5994_02
Excerpts from Letters of the Two Wangs in cursive script,,China,1847,Set of four hanging scrolls; ink on gold-flecked paper,"H x W (image, each): 187.3 x 46.4 cm (73 3/4 x 18 1/4 in)",Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10014.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5044_07
"Excerpt from the ""Rhapsody on a Withered Tree"" in running script",,China,late 19th-early 20th century,Set of four hanging scrolls; ink on paper,"H x W (image, each): 166.4 x 63.2 cm (65 1/2 x 24 7/8 in)",Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10015.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5107_03
Mirror (chien),,China,618-907,Bronze,Diam x D: 12.4 x 1.5 cm (4 7/8 x 9/16 in),Gift of Charles Lang Freer,,,Mirror,,,,,All_images1.0\image10016.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7681_02
Eight Mynah Birds with Bamboo and Orchids,Formerly attributed to Huang Quan (903-968),China,16th century,Hanging scroll; ink and color on silk,H x W (image): 108 x 57.8 cm (42 1/2 x 22 3/4 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10017.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5847_01
Ceremonial object in the form of a bird (feng),,China,,Bronze,H x W x D: 4.6 x 6.3 x 5.5 cm (1 13/16 x 2 1/2 x 2 3/16 in),Gift of Charles Lang Freer,,,Ceremonial Object,,,,,All_images1.0\image10018.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7518_13
Jar with lid,,"Henan province, China",first half of 8th century,Earthenware with white slip under lead-silicate glazes tinted with iron and copper,H x W: 21.6 x 21.6 cm (8 1/2 x 8 1/2 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images1.0\image10019.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7807_10
Plaque in the form of a dragon,,China,386-535,Jade,H x W: 10.2 x 7.3 cm (4 x 2 7/8 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10020.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7534_21
Cong,,China,1644-1911,Jade,H x W: 10.3 x 6.3 cm (4 1/16 x 2 1/2 in),Gift of Charles Lang Freer,,,Ceremonial Object,,,,,All_images1.0\image10021.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5418_05
Couplet in cursive script,Bao Shichen (1775-1855),China,early to mid-19th century,Pair of hanging scrolls; ink on paper,"H x W (image, each): 130.9 x 30.6 cm (51 9/16 x 12 1/16 in)",Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10022.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5580_05
Dragon and tiger,,China,17th-19th century,Ink and color on silk,H x W (image): 145.3 x 87.4 cm (57 3/16 x 34 7/16 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10023.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5711_01
Mask,,China,206 BCE-220 CE,Bronze with gilding,H x W: 8.8 x 11.8 cm (3 7/16 x 4 5/8 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10024.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7700_10
Cong,,China,1644-1911,Jade,H x W: 2.8 x 6.4 cm (1 1/8 x 2 1/2 in),Gift of Charles Lang Freer,,,Ceremonial Object,,,,,All_images1.0\image10025.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7302_45
Garment hook (daigou),,China,206 BCE-220 CE,Bronze with gilding,H x W: 17 x 4.3 cm (6 11/16 x 1 11/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10026.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7690_13
Ceremonial implement,,China,1644-1911,Jade,H x W x D: 8.1 x 5.2 x 0.7 cm (3 3/16 x 2 1/16 x 1/4 in),Gift of Charles Lang Freer,,,Ceremonial Object,,,,,All_images1.0\image10027.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7522_42
Reclining water buffalo,,China,960-1279,"Bronze, gilding",H x W: 8.2 x 15.7 cm (3 1/4 x 6 3/16 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10028.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7607_35
Excerpt from a letter by Mi Fu in cursive script,Wang Xun (died 1915),China,late 19th-early 20th century,Fan mounted as album leaf; ink on gold-flecked paper,H x W (image): 19.4 x 54.5 cm (7 5/8 x 21 7/16 in),Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10029.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7378_42
Horse figure with legs broken off at the knee,,China,1368-1644,Wood,H x W x D: 19 x 24.6 x 7 cm (7 1/2 x 9 11/16 x 2 3/4 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10030.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6011_05
Calligraphy in Various Styles,Li Ruiqing (1867-1920),China,1918,Set of four hanging scrolls; ink on paper,"H x W (image, each): 94.6 x 41 cm (37 1/4 x 16 1/8 in)",Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10031.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5587_13
Perforated flat disc of the type yuan,,China,1644-1911,Jade (nephrite),Diam x D: 13.2 × 0.5 cm (5 3/16 × 3/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10032.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5950_04
Ornament,,China,,Bronze with traces of gilding,H x W: 4.1 x 3.7 cm (1 5/8 x 1 7/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10033.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7677_06
Rocks and Bamboos,,China,15th century,Hanging scroll; ink on silk,H x W: 60.2 x 69.5 cm (23 11/16 x 27 3/8 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10034.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5866_04
Possibly a handle cover,,China,770-221 BCE,Bronze with silver inlay,H x W: 8.4 x 1.7 cm (3 5/16 x 11/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10035.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7729_19
Figure of the monk K'a-yeh (Kasyapa),,China,1644-1911,"Wood, gesso; red, green and blue tint",H: 32.1 cm (12 5/8 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10036.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7259_43
Couplet in seal script,,China,late 19th-early 20th century,Pair of hanging scrolls; ink on paper,"H x W (image, each): 118.8 x 23.5 cm (46 3/4 x 9 1/4 in)",Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10037.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5588_05
A White Horse,,China,14th-15th century,Ink and color on silk,H x W (image): 72 x 59.3 cm (28 3/8 x 23 3/8 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10038.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7450_01
"Excerpt from the ""Treatise on Calligraphy"" in cursive script",Gao Yong (1850-1921),China,early 20th century,Hanging scroll; ink on paper,H x W (image): 132.1 x 32.1 cm (52 x 12 5/8 in),Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10039.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5587_14
Plaque with taotie,,China,1300-1050 BCE,Jade (nephrite),H x W x D (overall): 3 x 3.4 x 0.3 cm (1 3/16 x 1 5/16 x 1/8 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Jewelry and Ornament,,,,,All_images1.0\image10040.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-S2012.9.306_001
Box lid with applied decoration,,"Longquan, Zhejiang province, China",15th century,Stoneware with celadon glaze,H x Diam (overall): 2.7 x 6.2 cm (1 1/16 x 2 7/16 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Container,,,,,All_images1.0\image10041.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-4182_1
Seal of Xie Zhiliu (1910-1997): Luomo,Wu Zijian (born 1947),China,1971,Soapstone,H x W x D: 1.7 x 1.7 x 2.6 cm (11/16 x 11/16 x 1 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10042.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6012_06
Four Poems by Li Shangyin in running-standard script,He Weipu (1844-1925),China,1919,Fan mounted as album leaf; ink on sized paper,H x W (image): 23.6 x 51.8 cm (9 5/16 x 20 3/8 in),Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10043.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7378_46
Small square rug,,China,1644-1911,Fabric,H x W: 83 x 82 cm (32 11/16 x 32 5/16 in),Gift of Charles Lang Freer,,,Costume and Textile,,,,,All_images1.0\image10044.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7905_09
"Bead, slender cylindrical, with a longitudinal perforation",,China,1644-1911,Jade,H x W: 2.1 x 0.7 cm (13/16 x 1/4 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10045.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7534_13
Standing figure of Lü Dongbin,,China,1368-1644,Ink and color on silk,H x W (image): 158.9 x 89.2 cm (62 9/16 x 35 1/8 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10046.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5675_08
"Brocade, velvet, in the form of a wall hanging",,China,1662-1722,Velvet,H x W: 425 x 142.5 cm (167 5/16 x 56 1/8 in),Gift of Charles Lang Freer,,,Costume and Textile,,,,,All_images1.0\image10047.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8546_22
Chariot fitting: axle cap,,China,1050-221 BCE,Bronze,H x W: 8.4 x 9.5 cm (3 5/16 x 3 3/4 in),Gift of Charles Lang Freer,,,Tool and Equipment,,,,,All_images1.0\image10048.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6072_02
Reclining horse,,China,1644-1911,Jade (nephrite),H x W x D: 3.6 x 6.6 x 2.6 cm (1 7/16 x 2 5/8 x 1 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10049.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7534_26
Fish,,China,19th century,Jade,H x W: 10.3 x 29.3 cm (4 1/16 x 11 9/16 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10050.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5091_03
Clasp,,China,960-1279,Bronze,H x W: 3.9 x 5.7 cm (1 9/16 x 2 1/4 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10051.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7654_13
Stand for a group of figures (fragment),,China,618-907,Bronze,H x W x D: 3.3 x 6.4 x 5.4 cm (1 5/16 x 2 1/2 x 2 1/8 in),Gift of Charles Lang Freer,,,Furniture and Furnishing,,,,,All_images1.0\image10052.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7259_09
Axe,,China,ca. 1050-771 BCE,Bronze with a wood stick,H x W: 29.7 x 12.3 cm (11 11/16 x 4 13/16 in),Purchase — Charles Lang Freer Endowment,,,Weapon and Armament,,,,,All_images1.0\image10053.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7726_22
Seal of Xie Zhiliu (1910-1997): Zhiliu,Wu Zijian (born 1947),China,1973,Soapstone,H x W x D (overall): 1.3 x 1.3 x 3.9 cm (1/2 x 1/2 x 1 9/16 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10054.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6039_03
Mirror,,China,206 BCE-220 CE,Bronze,Diam x D: 18.8 x 1.1 cm (7 3/8 x 7/16 in),Gift of Charles Lang Freer,,,Mirror,,,,,All_images1.0\image10055.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5993_10
Ceremonial implement: axe shape,,China,1644-1911,Jade,H x W: 8.3 x 4.7 cm (3 1/4 x 1 7/8 in),Gift of Charles Lang Freer,,,Ceremonial Object,,,,,All_images1.0\image10056.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7522_41
Seal of Xie Zhiliu (1910-1997): Xie Zhi,Wu Zijian (born 1947),China,1971,Soapstone,H x W x D (overall): 1.1 x 1.2 x 3.6 cm (7/16 x 1/2 x 1 7/16 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10057.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6014_08_1
Commercial wine bottle,,"Hong Kong, China",ca. 1970,Opaque black glass,H x Diam (overall): 15.8 x 12.9 cm (6 1/4 x 5 1/16 in),"Gift of Osborne and Gratia Hauge, and Victor and Takako Hauge",,,Vessel,,,,,All_images1.0\image10058.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6654_05
Jar,,"Zhejiang province, China",19th-early 20th century,Stoneware with thin iron glaze,H x Diam (overall): 25 x 28 cm (9 13/16 x 11 in),"Gift of Osborne and Gratia Hauge, and Victor and Takako Hauge",,,Vessel,,,,,All_images1.0\image10059.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6958_01
Seal of Xie Zhiliu (1910-1997): Luomo,Wu Zijian (born 1947),China,1971,Soapstone,H x W x D (overall): 4 x 1.7 x 3.5 cm (1 9/16 x 11/16 x 1 3/8 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10060.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6033_06
Seal of Xie Zhiliu (1910-1997): Xie ji,Wu Zijian (born 1947),China,1971,Soapstone,H x W x D (overall): 1.6 x 1.5 x 4.7 cm (5/8 x 9/16 x 1 7/8 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10061.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6031_04
Two horses under a tree,,China,1368-1644,Ink and color on silk,H x W (image): 79.9 × 56.3 cm (31 7/16 × 22 3/16 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10062.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5787_01
Drake and lotus flowers,Formerly attributed to Huang Jucai (933-after 993),China,1279-1368,Ink and color on paper,H x W: 87 x 55.7 cm (34 1/4 x 21 15/16 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images1.0\image10063.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5847_05
Molded lid of box,,"Gongxian kilns, Gongxian, Henan province, China",,"Porcelain with transparent ivory-toned glaze, spots of copper-green pigment",H x Diam (overall): 2.1 x 6 cm (13/16 x 2 3/8 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Container,,,,,All_images1.0\image10064.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-4171_1
Comments on Calligraphy and Painting in running script,,China,1845,Set of four hanging scrolls; ink on gold-flecked paper,"H x W (image, each): 125.8 x 28.9 cm (49 1/2 x 11 3/8 in)",Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10065.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5045_10
Bowl with sanskrit inscription,,China,,Porcelain,H x Diam (overall): 7.6 x 16.5 cm (3 x 6 1/2 in),Gift of Ruth Meyer Epstein,,,Vessel,,,,,All_images1.0\image10066.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-4125_1-000001
Figure: animal,,China,618-907,Bronze,H x W: 3 x 1.4 cm (1 3/16 x 9/16 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10067.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7552_19
Mirror,,China,960-1279,Bronze,Diam x D: 19.7 x 1 cm (7 3/4 x 3/8 in),Gift of Charles Lang Freer,,,Mirror,,,,,All_images1.0\image10068.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7603_11
Ding ware bowl with molded design of lotus,,"Hebei province, China",ca. 1200,Porcelain with ivory-toned transparent glaze,H x W: 9.9 x 25.4 cm (3 7/8 x 10 in),Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images1.0\image10069.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6584_09
Fragment of the top and wall of a covered box lid,,"Jingdezhen, Jiangxi province, China",12th-13th century,Porcelain with qingbai glaze,H x W x D (overall): 3.2 x 2.4 x 3.7 cm (1 1/4 x 15/16 x 1 7/16 in),Gift of Mr. and Mrs. Roy Galloway,,,Container,,,,,All_images1.0\image10070.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-4755_02
Garment hook (gou),,China,,Bronze with gilding and turquoise inlay,H x W x D: 21.5 x 1.3 x 3.7 cm (8 7/16 x 1/2 x 1 7/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10071.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7653_07
Ceremonial object,,China,1644-1911,Jade,H x W: 16.1 x 7.2 cm (6 5/16 x 2 13/16 in),Gift of Charles Lang Freer,,,Ceremonial Object,,,,,All_images1.0\image10072.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7522_10
Couplet in running-cursive script 行草書 對聯,Yu Youren 于右任 (1879-1964),China,early to mid-20th century,Pair of hanging scrolls; ink on paper,"H x W (image, each): 117.5 x 19.1 cm (46 1/4 x 7 1/2 in)",Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10073.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5594_03
Poem by Su Shi in running script,Wang Zhen (1867-1938),China,1919,Fan mounted as album leaf; ink on gold-flecked paper,H x W (image): 23.1 x 51.2 cm (9 1/8 x 20 3/16 in),Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10074.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5134_04
Scabbard ornament: slide,,China,206 BCE-9 CE,Jade (nephrite),H x W: 6.2 x 2.7 cm (2 7/16 x 1 1/16 in),Gift of Charles Lang Freer,,,Weapon and Armament,,,,,All_images1.0\image10075.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7534_09
Double seal of Xie Zhiliu (1910-1997): Xie Zhi / Zhiliu,Wu Zijian (born 1947),China,1971,Soapstone,H x W x D (overall): 2.2 x 0.8 x 2.5 cm (7/8 x 5/16 x 1 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10076.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6031_12
Dagger-axe (ge),,China,770 BCE-9 CE,Bronze,H x W: 18.1 x 9.3 cm (7 1/8 x 3 11/16 in),Gift of Charles Lang Freer,,,Weapon and Armament,,,,,All_images1.0\image10077.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7727_04
Ornament: small disc,,China,1644-1911,Jade,Diam x D: 3.7 x 0.5 cm (1 7/16 x 3/16 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images1.0\image10078.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7523_23
Axe (yue 鉞),,"Anyang, probably Henan province, China",ca. 1300-ca. 1050 BCE,Jade (nephrite),H x W x D (overall): 15.6 x 7.8 x 0.7 cm (6 1/8 x 3 1/16 x 1/4 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of the Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Ceremonial Object,,,,,All_images1.0\image10079.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-S2012.9.263_001-000001
Seal of Xie Zhiliu (1910-1997): Kuhuangzhai,Wu Zijian (born 1947),China,1990,Soapstone,H x W x D (overall): 1.9 x 0.9 x 2.7 cm (3/4 x 3/8 x 1 1/16 in),Gift of the Xie Family,,,Tool and Equipment,,,,,All_images1.0\image10080.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6040_10
Standing dog and puppy,,China,19th century,Bronze,H x W: 7.1 x 5.9 cm (2 13/16 x 2 5/16 in),Gift of Charles Lang Freer,,,Sculpture,,,,,All_images1.0\image10081.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7653_06
"Excerpt from the ""Rhapsody on Literature"" in running script",,China,early to mid-19th century,Hanging scroll; ink on gold-flecked paper,H x W (image): 129.9 x 32.1 cm (51 1/8 x 12 5/8 in),Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images1.0\image10082.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5004_12-000001
Cong,,China,1644-1911,Jade (serpentine),H x W: 13.9 x 7.2 cm (5 1/2 x 2 13/16 in),Gift of Charles Lang Freer,,,Ceremonial Object,,,,,All_images1.0\image10083.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7313_74
