Title,Artist,Place of Origin,Date,Medium,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image768.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-307_1
Rubbing from an individual piece of the Duanfang (Tuan-fang) altar set of bronzes in the Metropolitan Museum of Art,,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image769.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8437_28
Rectangular ornament,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Jewelry and Ornament,,,,,All_images1.0\image770.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-185_1
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image771.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_27
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image772.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8511_01
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image773.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_15
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image774.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-389_1
Necklace bead,,China,,Glass,H x Diam (overall): 1.3 x 1.9 cm (1/2 x 3/4 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.264.41",,,Jewelry and Ornament,,,,,All_images1.0\image775.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-LTS1985.1.264.41_001
Knife,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image776.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-219_1
Tea Wrapper,,China,,Ink and silver foil on paper,H x W: 52.5 x 101.3 cm (20 11/16 x 39 7/8 in),Gift of Charles and Catherine Page,,,Costume and Textile,,,,,All_images1.0\image777.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8515_10
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image778.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-347_1
Horses,Xu Beihong (1895-1953),China,1948,Ink on paper,,Gift of Mrs. Anna Chennault,,,Painting,,,,,All_images1.0\image779.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8491_05
Sword,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image780.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-128_1-000001
Limestone slab decorated with figures executed in flat relief on a sunken plain ground,,China,,Stone,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Sculpture,,,,,All_images1.0\image781.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8507_13
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image782.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-327_1
Bowl,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images1.0\image783.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-290_1-000001
Spearhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image784.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-173_1
Celt,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image785.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-223_1
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image786.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-348_1
Cylinder with hook,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Tool and Equipment,,,,,All_images1.0\image787.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-238
Ornament,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Jewelry and Ornament,,,,,All_images1.0\image788.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-245_1
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image789.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_30
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image790.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-349_1
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image791.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-332_1
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image792.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-304_1
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image793.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-314_1
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image794.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-385_1
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image795.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8511_15
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image796.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-303_1
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image797.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8511_02
Ornament,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Jewelry and Ornament,,,,,All_images1.0\image798.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-256
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image799.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-358_1
Necklace bead,,China,,Glass,H x W x D: 1.6 x 1.3 x 1.3 cm (5/8 x 1/2 x 1/2 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.264.44",,,Jewelry and Ornament,,,,,All_images1.0\image800.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-LTS1985.1.264.44_001
Rubbings of Buddhist sculpture with inscription datable to the period of the Usurpation of the Empress Wu,,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image801.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8527_04
"Rubbings of 16 panels executed in line engraving on stone, Buddhist scenes and donors",,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image802.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8496_17
Mirror,,China,,Bronze,Diam x D: 10.5 x 0.9 cm (4 1/8 x 3/8 in),Purchase — Charles Lang Freer Endowment,,,Mirror,,,,,All_images1.0\image803.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-38_1-000001
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image804.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_20
Dagger-axe,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image805.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-147_1-000001
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image806.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-364_1
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image807.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-336_1
Wine vessel (ku),,China,,Bronze,,Gift of The Brooklyn Museum,,,Vessel,,,,,All_images1.0\image808.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-92_1-000001
Carved lacquer rectangular tray,,China,20th century,Lacquer over wood,H x W x D: 4.8 x 47.8 x 27.7 cm (1 7/8 x 18 13/16 x 10 7/8 in),Gift of Arthur M. Sackler,,,Container,,,,,All_images1.0\image809.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7416_48
"Rubbing of a stone slab with low relief decoration of horse, figures and trees; inscription dated 497 B.C.E.",,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image810.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8498_04
Celt,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image811.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-221_1
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image812.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-387_1
"Round ting with lid, handle broken from vessel",,China,,Bronze,,Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images1.0\image813.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-68a-c_1-000001
Dog,,China,,Glass,H x W x D: 2.2 x 3.1 x 2 cm (7/8 x 1 1/4 x 13/16 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.264.21",,,Sculpture,,,,,All_images1.0\image814.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8079_10
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image815.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-321_1
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image816.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_06
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image817.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_09
Figure of a pig,,China,,Jade,H x W x D: 3.9 x 7.3 x 2.1 cm (1 9/16 x 2 7/8 x 13/16 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.264.30",,,Sculpture,,,,,All_images1.0\image818.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8082_25
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image819.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_02
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image820.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-295a-b_1
Dagger,,China,,Bronze,H x W x D: 24.3 x 3.6 x 2.3 cm (9 9/16 x 1 7/16 x 7/8 in),Gift of Sir Harry Garner,,,Weapon and Armament,,,,,All_images1.0\image821.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8521_02
Pendant,,China,,Stone,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Jewelry and Ornament,,,,,All_images1.0\image822.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-S-63_1
Rectangular bead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Jewelry and Ornament,,,,,All_images1.0\image823.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-282_1
Garment hook,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Jewelry and Ornament,,,,,All_images1.0\image824.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-189_1
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image825.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_01
"Buddhist memorial stele, placed on a high cubic pedestal",,China,,Stone,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Sculpture,,,,,All_images1.0\image826.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8507_08
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image827.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-367_1
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image828.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-383_1
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image829.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-366_1
Rubbing of stone slab with carved decoration in two registers: below: hunting scene; above: seven figures in two groups. Lozenge borders,,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image830.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8517_13
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image831.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_04
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image832.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_08
Ornament,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Jewelry and Ornament,,,,,All_images1.0\image833.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-248
Libation bowl,,China,618-907,Glass,H x Diam (overall): 10.8 x 16.8 cm (4 1/4 x 6 5/8 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.574.3",,,Vessel,,,,,All_images1.0\image834.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-LTS1985.1.574.3_001
1 of 3 rubbings of inscriptions in an unidentified script carved in stone. (FSC-R-457 through FSC-R-459),,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image835.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8499_25
Sword,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image836.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-130_1-000001
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image837.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8511_16
Preface,,China,inscription: 967,Ink on paper,H x W: 92.7 x 85.7 cm (36 1/2 x 33 3/4 in),Gift of Peking University,,,Rubbing,,,,,All_images1.0\image838.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7508_23
Mirror,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Mirror,,,,,All_images1.0\image839.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-167_1-000001
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image840.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-354_1
Garment hook,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Jewelry and Ornament,,,,,All_images1.0\image841.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-188_1
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image842.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-338_1
Blade (?) with one hole,,China,,Stone,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image843.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-S-60_1
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image844.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_11
Blade fragment,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image845.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-179
Ornament,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Jewelry and Ornament,,,,,All_images1.0\image846.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-267
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image847.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_03
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image848.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8513_02
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image849.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-361_1
Chinese bronze sword suspension,,China,,Bronze,,Gift of Mrs. Ann Ford Doyle,,,Weapon and Armament,,,,,All_images1.0\image850.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-119_1-000001
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image851.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_18
Ornament,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Jewelry and Ornament,,,,,All_images1.0\image852.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-257
Cylinder with hook,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Tool and Equipment,,,,,All_images1.0\image853.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-236
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image854.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-328_1
"Fresco, one in set of four",,China,,Fresco,H x W (overall): 26.7 x 20.3 cm (10 1/2 x 8 in),Acquired under the guidance of the Carl Whiting Bishop expedition,,,Painting,,,,,All_images1.0\image855.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8509_19
"1 of rubbings of stone sculpture at Caves 2 and 3, T'ienlung-shan, Shansi province (FSC-R-329 through FSC-R-340)",,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image856.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8483_29
Rubbing from an individual piece of the Duanfang (Tuan-fang) altar set of bronzes in the Metropolitan Museum of Art,,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image857.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8437_27
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image858.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_05
Dagger,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image859.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-274_1-000001
"Rubbings of plinth of metal Buddhist sculpture (?) with names of monks and other donors and date of Yung-cheng, 6th year",,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image860.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8499_23
Rubbing from an individual piece of the Duanfang (Tuan-fang) altar set of bronzes in the Metropolitan Museum of Art,,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image861.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8526_24
Rubbing from an individual piece of the Duanfang (Tuan-fang) altar set of bronzes in the Metropolitan Museum of Art,,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image862.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8446_23
Ornament,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Jewelry and Ornament,,,,,All_images1.0\image863.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-262_1
Celt,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image864.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-226_1
Arrowhead,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image865.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8512_17
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image866.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-330_1
"Rubbing of stone sculpture at the Pin-yang Cave, Lung-men, Honan. Designs on the low platform on the floor of the cave.",,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image867.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8481_16
Ornament,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Jewelry and Ornament,,,,,All_images1.0\image868.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-261_1
"Mounting material, roller and one wooden jiku",,China,,"Cloth, paper, wood",H x W (top with hanging bar): 75 x 87.2 cm (29 1/2 x 34 5/16 in),Gift of Elizabeth Meyer Lorentz,,,Unclassified,,,,,All_images1.0\image869.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8530_30
Bead,,China,618-907,Glass,H x Diam (overall): 2.2 x 1 cm (7/8 x 3/8 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.264.20",,,Jewelry and Ornament,,,,,All_images1.0\image870.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-LTS1985.1.264.20_001
Mirror,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Mirror,,,,,All_images1.0\image871.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-160_1-000001
Arrowhead,,China,,Iron,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Weapon and Armament,,,,,All_images1.0\image872.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-M-37
Knife money,,China,,Bronze,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Exchange Media,,,,,All_images1.0\image873.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-337_1
"Complete rim fragment in 16 pieces, number on pieces 98/6",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images1.0\image874.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-887_1-000001
"1 of rubbings of stone relief sculpture at the Lien-hua Cave, Lung-men, Honan province. (FSC-R-273 through FSC-R-281)",,China,,Ink on paper,,,,,Rubbing,,,,,All_images1.0\image875.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8481_30
